s,l,m,a,omega,lambda_gsn,N,r_match,mapping,rel_abs_B_inc,rel_abs_B_ref,rel_complex_B_inc,rel_complex_B_ref,flux_balance_error,score,B_inc_spectral,B_ref_spectral,B_inc_gsn,B_ref_gsn,T_spectral,R_spectral,cond_outer_down,cond_outer_up,cond_inner,status
0,0,0,0.0,0.01,0.0,64,6.0,sinh,1.7509975137427517e-11,1.7457574926143246e-11,1.751255074337918e-11,1.751427097312195e-11,3.019806626980426e-14,1.7509975137427517e-11,-2.0041376604706995e+00+4.8262801549154936e+01j,-3.9418283071319453e+00-4.8101731473330489e+01j,-2.0041376605200187e+00+4.8262801549999431e+01j,-3.9418283071330564e+00-4.8101731474175779e+01j,0.0017142994915215748,0.9982857005085087,3860033.8210045635,3860033.8210045635,43622945.897346325,ok
0,0,0,0.0,0.01,0.0,80,6.0,sinh,2.6787083195991478e-11,2.6897376633775956e-11,2.806872300180507e-11,2.6993613249734913e-11,5.995204332975845e-15,2.6897376633775956e-11,-2.0041376609784027e+00+4.8262801551275437e+01j,-3.9418283071295122e+00-4.8101731475478566e+01j,-2.0041376605200187e+00+4.8262801549999431e+01j,-3.9418283071330564e+00-4.8101731474175779e+01j,0.0017142994913696983,0.9982857005086243,10469099.15275321,10469099.15275321,118580931.7317484,ok
0,0,0,0.0,0.01,0.0,96,6.0,sinh,9.329768753131191e-12,9.395193090570484e-12,9.929748836229713e-12,1.4379873199887674e-11,3.574918139293004e-14,9.395193090570484e-12,-2.0041376603746524e+00+4.8262801550456523e+01j,-3.9418283076937422e+00-4.8101731474584788e+01j,-2.0041376605200187e+00+4.8262801549999431e+01j,-3.9418283071330564e+00-4.8101731474175779e+01j,0.0017142994914295523,0.9982857005085347,23680490.098762672,23680490.098762672,268678037.7099424,ok
0,0,0,0.0,0.01,0.0,112,6.0,sinh,7.590774347423874e-11,7.592283567779409e-11,7.61729987683419e-11,7.609752356154285e-11,9.636735853746359e-14,7.592283567779409e-11,-2.0041376600613985e+00+4.8262801546348634e+01j,-3.9418283065858413e+00-4.8101731470544081e+01j,-2.0041376605200187e+00+4.8262801549999431e+01j,-3.9418283071330564e+00-4.8101731474175779e+01j,0.0017142994917217977,0.9982857005083745,47244524.5189129,47244524.5189129,536730910.8062975,ok
0,0,0,0.0,0.01,0.0,128,6.0,sinh,2.836243228687745e-10,2.8424066066361933e-10,2.8816903460502926e-10,2.870816468059535e-10,1.234568003383174e-13,2.8424066066361933e-10,-2.0041376635487360e+00+4.8262801563585768e+01j,-3.9418283063155570e+00-4.8101731488007054e+01j,-2.0041376605200187e+00+4.8262801549999431e+01j,-3.9418283071330564e+00-4.8101731474175779e+01j,0.0017142994904891062,0.9982857005096344,85969920.01192623,85969920.01192623,977674958.0083071,ok
0,0,0,0.0,0.01,0.0,160,6.0,sinh,4.361905924571155e-10,4.3689134825054826e-10,4.3828613808778043e-10,4.3703972982894133e-10,2.3070434451710753e-13,4.3689134825054826e-10,-2.0041376634602481e+00+4.8262801570965415e+01j,-3.9418283083073336e+00-4.8101731495235903e+01j,-2.0041376605200187e+00+4.8262801549999431e+01j,-3.9418283071330564e+00-4.8101731474175779e+01j,0.0017142994899660177,0.9982857005098033,233934610.12593195,233934610.12593195,2664344007.0506988,ok
0,0,0,0.0,0.01,0.0,192,6.0,sinh,1.8542858764537045e-09,1.8575721565786982e-09,1.8966320454293785e-09,1.892797965112961e-09,3.382849556032852e-13,1.8575721565786982e-09,-2.0041376375689626e+00+4.8262801461305131e+01j,-3.9418283172943092e+00-4.8101731383390607e+01j,-2.0041376605200187e+00+4.8262801549999431e+01j,-3.9418283071330564e+00-4.8101731474175779e+01j,0.001714299497819143,0.9982857005018426,530296659.7393341,530296659.7393341,6045928095.595885,ok
0,0,0,0.0,0.01,0.0,224,6.0,sinh,1.633926170358756e-09,1.6353284930188937e-09,1.6381167038834026e-09,1.6393420524879774e-09,2.667865928174251e-12,1.6353284930188937e-09,-2.0041376515940952e+00+4.8262801471376243e+01j,-3.9418282951723298e+00-4.8101731395965551e+01j,-2.0041376605200187e+00+4.8262801549999431e+01j,-3.9418283071330564e+00-4.8101731474175779e+01j,0.0017142994970636178,0.9982857005056042,1059610741.7125663,1059610741.7125663,12089771087.900305,ok
0,0,0,0.0,0.01,0.0,64,8.0,sinh,3.767593212151944e-11,3.777702083272399e-11,3.8047944676123076e-11,3.788102193617508e-11,6.195044477408373e-14,3.777702083272399e-11,-2.0041376608517005e+00+4.8262801551807136e+01j,-3.9418283074168774e+00-4.8101731475981865e+01j,-2.0041376605200187e+00+4.8262801549999431e+01j,-3.9418283071330564e+00-4.8101731474175779e+01j,0.0017142994913323646,0.9982857005086057,4248204.791418002,4248204.791418002,21953971.437457513,ok
0,0,0,0.0,0.01,0.0,80,8.0,sinh,2.6324463407125753e-12,2.614094404478023e-12,3.5436773878071367e-12,8.98213877194875e-12,8.881784197001252e-14,2.6324463407125753e-12,-2.0041376604002523e+00+4.8262801549877132e+01j,-3.9418283075361060e+00-4.8101731474016162e+01j,-2.0041376605200187e+00+4.8262801549999431e+01j,-3.9418283071330564e+00-4.8101731474175779e+01j,0.001714299491470566,0.9982857005084406,11535645.671161335,11535645.671161335,59538018.28764412,ok
