s,l,m,a,omega,lambda_gsn,N,r_match,mapping,rel_abs_B_inc,rel_abs_B_ref,rel_complex_B_inc,rel_complex_B_ref,flux_balance_error,score,B_inc_spectral,B_ref_spectral,B_inc_gsn,B_ref_gsn,T_spectral,R_spectral,cond_outer_down,cond_outer_up,cond_inner,status,passed
0,0,0,0.0,0.01,0.0,64,40.0,sinh,1.3787393580408453e-12,1.2976249200872547e-12,4.397760555198188e-12,2.0878983602306055e-11,3.006483950684924e-13,1.3787393580408453e-12,-2.0041376603212320e+00+4.8262801550074336e+01j,-3.9418283081405452e+00-4.8101731474156054e+01j,-2.0041376605200187e+00+4.8262801549999431e+01j,-3.9418283071330564e+00-4.8101731474175779e+01j,0.0017142994914568133,0.9982857005082425,5160757.374640368,5160757.374640368,1624760.9470146596,ok,true
0,0,0,0.0,0.1,0.0,96,10.0,linear,3.407275871969816e-12,5.774167784762604e-13,8.425366953124642e-12,7.520273195739926e-12,2.8367308502197375e-12,3.407275871969816e-12,8.5621992644529543e-01+3.4049762474376220e+00j,-8.7426391535585224e-01-2.7500251661263144e+00j,8.5621992641614053e-01+3.4049762474326175e+00j,-8.7426391537697690e-01-2.7500251661213468e+00j,0.3244915916348091,0.6755084083623542,412901345.1842629,412901345.1842629,23032383.106213868,ok,true
0,0,0,0.0,0.5,0.0,192,15.0,linear,9.60992860026722e-13,2.7392614454256562e-11,1.3167581086933596e-11,1.65918072578764e-10,1.9559909247846008e-12,2.7392614454256562e-11,1.9355637663844885e+00+5.0371389242100650e-01j,-3.3693580493976286e-03-1.1109751434573111e-02j,1.9355637663760132e+00+5.0371389244594111e-01j,-3.3693580476719105e-03-1.1109751435428802e-02j,0.9999663063456937,3.369365235023292e-05,10013928240.52264,10013928240.52264,155069309.8643028,ok,true
0,1,0,0.0,0.1,2.0,128,40.0,linear,3.0798467438010893e-12,3.205102811694449e-12,2.489601623345111e-11,2.9129366653809375e-11,7.771561172376096e-14,3.205102811694449e-12,-8.0212366086264453e+01-4.2466346363211620e+01j,-8.9635531949807913e+01+1.4102682676454489e+01j,-8.0212366084968295e+01-4.2466346365062464e+01j,-8.9635531949928932e+01+1.4102682673814115e+01j,0.0004855892735578256,0.9995144107265199,1793083580.0115569,1793083580.0115569,38680758.727853976,ok,true
0,1,0,0.0,0.5,2.0,224,30.0,linear,3.4579954078591304e-12,6.135826436077646e-12,1.4278118564520535e-11,2.8420816668668964e-11,6.730616064487549e-12,6.730616064487549e-12,4.5771280563831124e-01+1.9491067392635697e+00j,-9.1400779797297924e-02-1.2805895805666026e-02j,4.5771280561289301e-01+1.9491067392766506e+00j,-9.1400779797092491e-02-1.2805895803051026e-02j,0.9978750018612119,0.0021249981455186127,21585231050.189636,21585231050.189636,73783312.36264369,ok,true
0,0,0,0.5,0.1,0.001666574066726486,128,8.0,linear,2.010848388300482e-12,1.358971459082114e-12,4.960729173661036e-12,0.2763716594438104,1.0396128402589966e-12,2.010848388300482e-12,7.4133751240797929e-01+3.3488971999996702e+00j,-1.4763266633830068e+00-2.4193186104505067e+00j,7.4133751242167556e-01+3.3488971999895742e+00j,-7.5772832728210648e-01-2.7310237527242172e+00j,0.31722464541809386,0.6827753545808665,1423974526.1254861,1423974526.1254861,117432652.18844023,ok,true
0,1,0,0.5,0.1,2.0009999571438124,96,15.0,linear,4.929159184183323e-12,4.893551850136541e-12,7.939849921176078e-12,0.2763716594530557,5.140332604014475e-14,4.929159184183323e-12,-8.7436824134980270e+01-5.4192489250562190e+01j,-9.6048364284215282e+01+3.6783199609364246e+01j,-8.7436824135073934e+01-5.4192489251373566e+01j,-1.0244852124931778e+02+9.0880442949663447e+00j,0.00035267835058687235,0.9996473216493618,480111074.6618453,480111074.6618453,45391582.022409126,ok,true
0,2,0,0.5,0.1,6.001190539635982,96,25.0,linear,4.5030430983224953e-11,4.5001143006060546e-11,1.2283978834430292e-09,0.2763716606626005,5.861977570020827e-14,4.5030430983224953e-11,7.0913778772990063e+03-5.6505296246763319e+03j,2.3638294293240856e+03+8.7537667283864721e+03j,7.0913778845547686e+03-5.6505296162256000e+03j,-1.2252986852694107e+02+9.0664826666498975e+03j,4.5393173136847874e-08,0.9999999546068855,523593123.77422017,523593123.77422017,803623992.9967966,ok,true
0,2,0,0.5,0.5,6.0298016695710706,96,10.0,linear,6.970343480469025e-13,5.767064182276711e-13,1.4393262377607749e-12,1.2779225526400304,8.208989044078407e-13,8.208989044078407e-13,-7.5716040883715607e-01-2.5006840559269889e+00j,1.1525639678009771e+00+1.3290064427388986e+00j,-7.5716040883977742e-01-2.5006840559242924e+00j,-1.0950043016908320e+00+1.3768178543281517e+00j,0.5466834490620097,0.45331655093881124,419351851.4005904,419351851.4005904,20979239.98224724,ok,true
0,1,1,0.5,0.05,1.950499998214265,160,40.0,sinh,2.3186415210437743e-10,2.3128175742018816e-10,0.18546074107760332,0.04709510042140413,1.1496359419993496e-12,2.3186415210437743e-10,-5.4542746758395970e+02-1.1861372586632039e+02j,-5.1135482381818696e+02+2.2379198034256567e+02j,-5.5795069631398690e+02-1.5854295859477853e+01j,-5.0025116100331491e+02+2.4761942992926151e+02j,-2.011793036766429e-05,1.000020117929218,905573666.948271,905573666.948271,259732010.37985575,ok,true
