label,l,m,a,omega,config,N,quad_order,r_match,B_inc,B_ref,A_ref_1,A_hor_1,T0,R0,linear_balance,T1,R1,nonlinear_balance,wronskian_relative_error,rel_A_ref_to_reference,rel_A_hor_to_reference,rel_T1_to_reference,rel_R1_to_reference,rss_before_mb,rss_after_mb,elapsed_s,status
axisym_l0_peak,0,0,5.0000000000000000e-01,1.2500000000000000e-01,reference,240,192,4.0000000000000000e+01,1.0270875601363780e+00+2.4805941259961690e+00j,-1.0948263037129597e+00-1.5091589151983653e+00j,7.4061283741669177e+00-3.4252601224280488e+00j,7.8754616528443333e-01+2.2004222808891636e+00j,5.1774670172602189e-01,4.8225329828504471e-01,1.1066703109463560e-11,1.1313400227200811e-01,-1.1313400226929687e-01,2.7112340150736713e-12,1.8493117298479488e-16,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.832031e+01,8.451172e+01,1.476169e+00,ok
axisym_l0_peak,0,0,5.0000000000000000e-01,1.2500000000000000e-01,production,224,160,4.0000000000000000e+01,1.0270875601260641e+00+2.4805941260494500e+00j,-1.0948263037498804e+00-1.5091589152088793e+00j,7.4061261947807910e+00-3.4252630351458246e+00j,7.8754434814177210e-01+2.2004223078170617e+00j,5.1774670170855719e-01,4.8225329828439523e-01,-7.0475847380180312e-12,1.1313374122492037e-01,-1.1313374122617016e-01,-1.2497919366083465e-12,0.0000000000000000e+00,4.4581805302195571e-07,7.7760203862864388e-07,2.3074149459527753e-06,2.3073799342001962e-06,8.451172e+01,8.506250e+01,1.374910e+00,ok
axisym_l0_peak,0,0,5.0000000000000000e-01,1.2500000000000000e-01,N_only,224,192,4.0000000000000000e+01,1.0270875601260641e+00+2.4805941260494500e+00j,-1.0948263037498804e+00-1.5091589152088793e+00j,7.4061283742720088e+00-3.4252601226183370e+00j,7.8754616527435883e-01+2.2004222808916487e+00j,5.1774670170855719e-01,4.8225329828439523e-01,-7.0475847380180312e-12,1.1313400226292836e-01,-1.1313400226417811e-01,-1.2497503032449231e-12,0.0000000000000000e+00,2.6640105246772699e-11,4.4398746720648667e-12,8.0256604183853396e-11,4.5245164310343676e-11,8.506250e+01,8.461719e+01,1.401457e+00,ok
axisym_l0_peak,0,0,5.0000000000000000e-01,1.2500000000000000e-01,q_only,240,160,4.0000000000000000e+01,1.0270875601363780e+00+2.4805941259961690e+00j,-1.0948263037129597e+00-1.5091589151983653e+00j,7.4061261946757000e+00-3.4252630349555386e+00j,7.8754434815184615e-01+2.2004223078145766e+00j,5.1774670172602189e-01,4.8225329828504471e-01,1.1066703109463560e-11,1.1313374123400005e-01,-1.1313374123128871e-01,2.7113450373761339e-12,1.8493117298479488e-16,4.4580709775334353e-07,7.7759771287415329e-07,2.3073346899619256e-06,2.3073346909985550e-06,8.461719e+01,8.451953e+01,1.524062e+00,ok
axisym_l0_peak,0,0,5.0000000000000000e-01,1.2500000000000000e-01,q_low,240,128,4.0000000000000000e+01,1.0270875601363780e+00+2.4805941259961690e+00j,-1.0948263037129597e+00-1.5091589151983653e+00j,7.4061211204457518e+00-3.4252673765715325e+00j,7.8754110393317756e-01+2.2004230860740748e+00j,5.1774670172602189e-01,4.8225329828504471e-01,1.1066703109463560e-11,1.1313327518964809e-01,-1.1313327518693683e-01,2.7112617706492870e-12,1.8493117298479488e-16,1.2572057164983914e-06,2.1928773580147367e-06,6.4267359539309478e-06,6.4267359543302967e-06,8.451953e+01,8.442188e+01,1.499956e+00,ok
axisym_l1_peak,1,0,5.0000000000000000e-01,3.4000000000000002e-01,reference,240,192,4.0000000000000000e+01,-1.5484549794435378e+00+1.5516569224025194e+00j,-7.4837156658797699e-01+7.1640855583104901e-01j,-1.1554677998200256e+00-2.7250696608566969e+00j,2.9140652923292731e-01+1.4151103856869773e+00j,7.7664462159380954e-01,2.2335537838767019e-01,-1.8520296407587011e-11,9.4194686382091872e-02,-9.4194686384299384e-02,-2.2075119510134300e-12,1.4895967240213438e-16,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.442188e+01,8.509375e+01,1.548053e+00,ok
axisym_l1_peak,1,0,5.0000000000000000e-01,3.4000000000000002e-01,production,224,160,4.0000000000000000e+01,-1.5484549794713058e+00+1.5516569223254726e+00j,-7.4837156655707449e-01+7.1640855583798124e-01j,-1.1554610197688755e+00-2.7250856350556902e+00j,2.9141095525492355e-01+1.4151084839558423e+00j,7.7664462161855452e-01,2.2335537838722844e-01,5.7829296906675154e-12,9.4196117062125398e-02,-9.4196117061384962e-02,7.4043549069813253e-13,2.9791934480047912e-16,5.8628343027229173e-06,3.3342174769338797e-06,1.5188542883648240e-05,1.5188511586968102e-05,8.509375e+01,8.500000e+01,1.472193e+00,ok
axisym_l1_peak,1,0,5.0000000000000000e-01,3.4000000000000002e-01,N_only,224,192,4.0000000000000000e+01,-1.5484549794713058e+00+1.5516569223254726e+00j,-7.4837156655707449e-01+7.1640855583798124e-01j,-1.1554677998874874e+00-2.7250696607844458e+00j,2.9140652922927945e-01+1.4151103856864837e+00j,7.7664462161855452e-01,2.2335537838722844e-01,5.7829296906675154e-12,9.4194686386915083e-02,-9.4194686386174648e-02,7.4043549069813253e-13,2.9791934480047912e-16,3.3396193664109356e-11,2.5478245391793246e-12,5.1204706550571278e-11,1.9908382363053528e-11,8.500000e+01,8.565234e+01,1.464722e+00,ok
axisym_l1_peak,1,0,5.0000000000000000e-01,3.4000000000000002e-01,q_only,240,160,4.0000000000000000e+01,-1.5484549794435378e+00+1.5516569224025194e+00j,-7.4837156658797699e-01+7.1640855583104901e-01j,-1.1554610197014121e+00-2.7250856351279413e+00j,2.9141095525857169e-01+1.4151084839563357e+00j,7.7664462159380954e-01,2.2335537838767019e-01,-1.8520296407587011e-11,9.4196117057302173e-02,-9.4196117059509754e-02,-2.2075813399524691e-12,1.4895967240213438e-16,5.8628656774123713e-06,3.3342196620475920e-06,1.5188491678794359e-05,1.5188491679175062e-05,8.565234e+01,8.590625e+01,1.522282e+00,ok
axisym_l1_peak,1,0,5.0000000000000000e-01,3.4000000000000002e-01,q_low,240,128,4.0000000000000000e+01,-1.5484549794435378e+00+1.5516569224025194e+00j,-7.4837156658797699e-01+7.1640855583104901e-01j,-1.1554672789159590e+00-2.7251167089642676e+00j,2.9141566509370431e-01+1.4151010513323234e+00j,7.7664462159380954e-01,2.2335537838767019e-01,-1.8520296407587011e-11,9.4197639471519864e-02,-9.4197639473727460e-02,-2.2075952177402769e-12,1.4895967240213438e-16,1.5896049173192612e-05,9.0401047286233530e-06,3.1350913107920367e-05,3.1350913108069627e-05,8.590625e+01,8.580078e+01,1.413175e+00,ok
axisym_l2_peak,2,0,5.0000000000000000e-01,5.2000000000000002e-01,reference,240,192,4.0000000000000000e+01,-1.2396336763323419e+00-1.9480522201644010e+00j,8.5957567962145187e-01+9.2772730230986722e-01j,-3.5296521931560809e+00+1.6799078562762568e+00j,3.9536085525723413e-01+1.6140048949832813e+00j,6.9998713983946115e-01,3.0001286016654305e-01,6.0040861171728466e-12,1.0381407486889294e-01,-1.0381407486771656e-01,1.1763784391050081e-12,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.580078e+01,8.582812e+01,1.748908e+00,ok
axisym_l2_peak,2,0,5.0000000000000000e-01,5.2000000000000002e-01,production,224,160,4.0000000000000000e+01,-1.2396336763777178e+00-1.9480522201508379e+00j,8.5957567961148595e-01+9.2772730233068168e-01j,-3.5296834139241096e+00+1.6798873892090951e+00j,3.9537313386409867e-01+1.6140018480248957e+00j,6.9998713983162886e-01,3.0001286016721634e-01,-1.1548539902150878e-12,1.0381729899003907e-01,-1.0381729898992463e-01,1.1443623826323801e-13,0.0000000000000000e+00,9.5500486544282731e-06,7.6131921521804906e-06,3.1056686197923165e-05,3.1056696427545077e-05,8.582812e+01,8.578906e+01,1.656627e+00,ok
axisym_l2_peak,2,0,5.0000000000000000e-01,5.2000000000000002e-01,N_only,224,192,4.0000000000000000e+01,-1.2396336763777178e+00-1.9480522201508379e+00j,8.5957567961148595e-01+9.2772730233068168e-01j,-3.5296521931919123e+00+1.6799078562152430e+00j,3.9536085525781489e-01+1.6140048949782868e+00j,6.9998713983162886e-01,3.0001286016721634e-01,-1.1548539902150878e-12,1.0381407486672223e-01,-1.0381407486660782e-01,1.1440848268762238e-13,0.0000000000000000e+00,1.8100939837778774e-11,3.0258367735721947e-12,2.0909573778781914e-11,1.0680036428032638e-11,8.578906e+01,8.571875e+01,1.816098e+00,ok
axisym_l2_peak,2,0,5.0000000000000000e-01,5.2000000000000002e-01,q_only,240,160,4.0000000000000000e+01,-1.2396336763323419e+00-1.9480522201644010e+00j,8.5957567962145187e-01+9.2772730230986722e-01j,-3.5296834138882796e+00+1.6798873892701092e+00j,3.9537313386351819e-01+1.6140018480298901e+00j,6.9998713983946115e-01,3.0001286016654305e-01,6.0040861171728466e-12,1.0381729899220994e-01,-1.0381729899103348e-01,1.1764617058318549e-12,0.0000000000000000e+00,9.5500324314342522e-06,7.6131910892535470e-06,3.1056707109101092e-05,3.1056707108650938e-05,8.571875e+01,8.587109e+01,1.803861e+00,ok
axisym_l2_peak,2,0,5.0000000000000000e-01,5.2000000000000002e-01,q_low,240,128,4.0000000000000000e+01,-1.2396336763323419e+00-1.9480522201644010e+00j,8.5957567962145187e-01+9.2772730230986722e-01j,-3.5297472441845406e+00+1.6799098093656568e+00j,3.9538226215176708e-01+1.6139808169981793e+00j,6.9998713983946115e-01,3.0001286016654305e-01,6.0040861171728466e-12,1.0381969590325232e-01,-1.0381969590207574e-01,1.1765866059221253e-12,0.0000000000000000e+00,2.4320875414027351e-05,1.9388360717704711e-05,5.4145204939565993e-05,5.4145204938174352e-05,8.587109e+01,8.578516e+01,1.832965e+00,ok
