branch,subdomain,k,abs_coeff,normalized_abs_coeff,real_coeff,imag_coeff
down,outer,0,9.9991010768198163e-01,1.0000000000000002e+00,9.9726234075373721e-01,-7.2718960106488525e-02
down,outer,1,7.2881207345510873e-02,7.2887759395158083e-02,3.6624247622115413e-03,7.2789127134486833e-02
down,outer,2,9.3465750158886537e-04,9.3474152767153592e-04,-9.3211373296328028e-04,-6.8910333750451012e-05
down,outer,3,7.4881513762062360e-06,7.4888245640055285e-06,7.3646406096810213e-06,-1.3544296671353983e-06
down,outer,4,1.0055080320602024e-07,1.0055984276338581e-07,-1.7647747925446141e-08,9.8990004639537830e-08
down,outer,5,1.7218646557551055e-09,1.7220194520753255e-09,1.2224964437717766e-09,-1.2125676631446212e-09
down,outer,6,2.3495541450920874e-11,2.3497653709480814e-11,6.9445228684397623e-12,-2.2445802952927705e-11
down,outer,7,1.7173928156266327e-12,1.7175472099266392e-12,-1.3069640052754209e-12,-1.1141288848604557e-12
down,outer,8,2.5865111526566298e-13,2.5867436810422382e-13,-1.7621258470982235e-13,-1.8933970639581902e-13
down,outer,9,1.7496296802837126e-13,1.7497869726907263e-13,-1.2046872231115181e-13,-1.2688312388184432e-13
down,outer,10,2.3947489755618580e-13,2.3949642644511608e-13,8.1575628386592226e-14,-2.2515248924424149e-13
down,outer,11,1.8806862744121430e-13,1.8808553488593095e-13,8.1449841838144548e-14,-1.6951617000204878e-13
down,outer,12,3.6776367838807493e-13,3.6779674048963717e-13,1.2808406011058204e-13,-3.4473844677830208e-13
down,outer,13,3.7725428686436838e-13,3.7728820217542293e-13,2.6873063365892308e-13,-2.6477281486364275e-13
down,outer,14,3.5153185440550000e-13,3.5156345725960367e-13,1.9788783557995811e-13,-2.9054268049849255e-13
down,outer,15,4.1660517556719212e-13,4.1664262853885681e-13,3.1484170995778522e-13,-2.7282699642855874e-13
down,outer,16,2.6599869067894999e-13,2.6602260406747492e-13,2.1634015077326756e-13,-1.5476512076794170e-13
down,outer,17,3.4800577961995739e-13,3.4803706547852958e-13,2.0002082946326397e-13,-2.8478007379330844e-13
down,outer,18,2.9898972321193022e-13,2.9901660250745563e-13,2.1439818220861959e-13,-2.0839451540764266e-13
down,outer,19,2.3142178824456116e-13,2.3144259315574813e-13,-1.3314076418738875e-14,-2.3103848043870629e-13
down,outer,20,3.0547543653144251e-13,3.0550289889518555e-13,6.4754008013867770e-14,-2.9853334951093038e-13
down,outer,21,1.6893960179299562e-13,1.6895478953066685e-13,5.6326611128159431e-14,-1.5927304207803978e-13
down,outer,22,2.1832470315710726e-13,2.1834433063511423e-13,-6.8650968448207320e-14,-2.0725038127772465e-13
down,outer,23,2.1347767035848984e-13,2.1349686208631246e-13,-1.7339921453751231e-14,-2.1277227936379727e-13
down,outer,24,1.9961617302596535e-13,1.9963411859964186e-13,-6.0595253033637904e-14,-1.9019682395697760e-13
down,outer,25,2.8440438451754672e-13,2.8442995258529848e-13,-2.5044632216000130e-14,-2.8329952405531828e-13
down,outer,26,1.9975502539235534e-13,1.9977298344891503e-13,3.7775067430531822e-14,-1.9615074419975904e-13
down,outer,27,1.6761214407122962e-13,1.6762721246992152e-13,-6.9491782140348778e-14,-1.5252777797867815e-13
down,outer,28,2.2920484693189128e-13,2.2922545253916884e-13,-4.5636274552919649e-14,-2.2461565462363092e-13
down,outer,29,1.6876528416385450e-13,1.6878045623030127e-13,-5.1690644690873712e-15,-1.6868610467795199e-13
down,outer,30,2.0701694870313197e-13,2.0703555960949753e-13,-5.1203635865080748e-14,-2.0058465725112525e-13
down,outer,31,2.6870011197667636e-13,2.6872426822405483e-13,3.3358979427198514e-14,-2.6662132073008372e-13
down,outer,32,1.9702188626862279e-13,1.9703959861488372e-13,6.1364414741652910e-14,-1.8722187979042553e-13
down,outer,33,1.9233412631374119e-13,1.9235141722851001e-13,-1.8553530454862795e-14,-1.9143715065924541e-13
down,outer,34,2.2520115690128240e-13,2.2522140257522726e-13,2.2892591241619104e-14,-2.2403457397446529e-13
down,outer,35,1.7092372024097755e-13,1.7093908635168967e-13,4.2593182261811322e-14,-1.6553168568533360e-13
down,outer,36,2.0311316192453913e-13,2.0313142187891422e-13,-1.5079803521473224e-14,-2.0255260075530460e-13
down,outer,37,2.5536226977554178e-13,2.5538522694557960e-13,1.9116749941928582e-14,-2.5464571211111003e-13
down,outer,38,1.9241576331735176e-13,1.9243306157131979e-13,1.8282848211967689e-14,-1.9154519945500405e-13
down,outer,39,1.9590130598737407e-13,1.9591891759302019e-13,-4.8381833270495264e-14,-1.8983287359397148e-13
down,outer,40,2.2480796916408866e-13,2.2482817949029891e-13,-1.1053820811715590e-14,-2.2453604620448879e-13
down,outer,41,1.6405441404312299e-13,1.6406916260046450e-13,8.4019128603309480e-15,-1.6383912422654070e-13
down,outer,42,1.8861812341613523e-13,1.8863508026075947e-13,-5.0755663960793765e-14,-1.8166083523127212e-13
down,outer,43,2.6936206078362694e-13,2.6938627654046753e-13,-5.8358076532060606e-16,-2.6936142861050594e-13
down,outer,44,2.3120580129389029e-13,2.3122658678776414e-13,6.9648840192037174e-14,-2.2046578331308910e-13
down,outer,45,1.7853509844213213e-13,1.7855114881878431e-13,7.0730729834566100e-15,-1.7839493550634362e-13
down,outer,46,2.4943131591000152e-13,2.4945373988491816e-13,2.5271168334026595e-16,-2.4943118789237261e-13
down,outer,47,2.3359092457564513e-13,2.3361192449305456e-13,6.5763599260833076e-14,-2.2414251951908921e-13
down,outer,48,1.4989446399575611e-13,1.4990793956793324e-13,6.6987381880947266e-15,-1.4974470689564417e-13
down,outer,49,2.2639087046127314e-13,2.2641122309094219e-13,-4.8567422978098683e-14,-2.2111994856520615e-13
down,outer,50,2.7097587947050874e-13,2.7100024031029382e-13,3.1689098925393019e-14,-2.6911657002888606e-13
down,outer,51,1.9695357411257806e-13,1.9697128031754887e-13,3.5209809240088970e-14,-1.9378075159570240e-13
down,outer,52,2.0955977932971133e-13,2.0957861883756574e-13,-6.1799489288880103e-14,-2.0024016639113866e-13
down,outer,53,2.6613562063141136e-13,2.6615954632999369e-13,-3.7357392756347335e-14,-2.6350065232426752e-13
down,outer,54,2.1142714897985647e-13,2.1144615636498823e-13,3.6409610392125004e-14,-2.0826852761961922e-13
down,outer,55,1.5547947323227639e-13,1.5549345089901439e-13,-9.1599682194083874e-15,-1.5520941201745976e-13
down,outer,56,2.3157509332186214e-13,2.3159591201523678e-13,-4.0183895486394991e-14,-2.2806200558305992e-13
down,outer,57,2.6002769709212243e-13,2.6005107368593924e-13,2.2934897494997024e-14,-2.5901427322046664e-13
down,outer,58,1.9348934733650541e-13,1.9350674210610552e-13,1.8383253593230716e-14,-1.9261407923626402e-13
down,outer,59,2.0309168979111560e-13,2.0310994781513731e-13,-4.5461154962798257e-14,-1.9793816673814874e-13
down,outer,60,2.5255435626237278e-13,2.5257706099986438e-13,-1.2964296702861178e-15,-2.5255102877876289e-13
down,outer,61,2.2388682215167003e-13,2.2390694966639598e-13,7.5238232956310270e-14,-2.1086611258043697e-13
down,outer,62,1.7378442257076630e-13,1.7380004585976035e-13,3.8595699967769370e-14,-1.6944437869770894e-13
down,outer,63,2.3640077384396842e-13,2.3642202636794926e-13,-9.7066482638539003e-16,-2.3639878105401033e-13
down,outer,64,2.6883123157464888e-13,2.6885539960973160e-13,5.4285481259125119e-14,-2.6329321600528884e-13
down,outer,65,1.9725015382026669e-13,1.9726788668787168e-13,6.8909324660182371e-14,-1.8482188224611407e-13
down,outer,66,1.5526995592287978e-13,1.5528391475392801e-13,-4.7116494355044821e-15,-1.5519845222130902e-13
down,outer,67,2.1152147930110726e-13,2.1154049516657256e-13,-2.5898255932193143e-14,-2.0993002773638499e-13
