branch,subdomain,node_index,z,abs_residual,relative_residual,term_scale,radial_abs_residual,radial_relative_residual,radial_term_scale,real_residual,imag_residual
down,outer,0,0.0000000000000000e+00,6.7448360597955593e-10,5.5906590312628525e-11,1.2064474012953699e+01,,,,-2.8599345114344032e-13,-6.7448354534631220e-10
down,outer,2,7.9930037606575818e-06,1.9091784482797824e-11,1.5824783757907952e-12,1.2064483644686323e+01,3.8146972656250000e-06,1.2941989052768758e-16,2.9475355372896862e+10,1.5276668818842154e-13,1.9091173276584647e-11
down,outer,3,1.7982974502602719e-05,2.0063554268698186e-11,1.6630221478496819e-12,1.2064514170566357e+01,4.7683716175583868e-07,8.1885111752173411e-17,5.8232461500326691e+09,2.3447910280083306e-13,-2.0062184064636307e-11
down,outer,4,3.1966537037111286e-05,9.9828246507334081e-08,8.2745158282505084e-09,1.2064542334489786e+01,2.5833906209183034e-07,1.4017813894899660e-16,1.8429340268658171e+09,8.2008853041770635e-09,-9.9490825109438061e-08
down,outer,5,4.9941295352730264e-05,7.6360269165727737e-09,6.3292929027448587e-10,1.2064581358308153e+01,6.7884684540331364e-09,8.9902968059120330e-18,7.5508835810281920e+08,3.5181599855604873e-09,6.7772750708986959e-09
down,outer,6,7.1904169567156995e-05,5.3820917054633267e-08,4.4610505813965738e-09,1.2064628291612898e+01,6.1501622374087319e-08,1.6883298361384249e-16,3.6427492458911240e+08,1.9782540050528041e-09,-5.3784548187125331e-08
down,outer,7,9.7851396454959216e-05,5.6841054240227739e-08,4.7113587063650590e-09,1.2064684050364349e+01,5.8085186838032296e-08,2.9528292809536156e-16,1.9671027787720156e+08,8.8368246053960320e-09,5.6149941923691951e-08
down,outer,8,1.2777853009239047e-04,5.6815427097660416e-09,4.7092094268093591e-10,1.2064748442533102e+01,1.4935442750330507e-08,1.2946293845125347e-16,1.1536462040025556e+08,5.5906754781176460e-09,1.0120648503281204e-09
down,outer,9,1.6168044261916103e-04,7.3712741340104792e-08,6.1097250407751468e-09,1.2064821386913474e+01,7.3777033416335447e-08,1.0238039913111591e-15,7.2061677862625957e+07,-6.8045551415707450e-09,-7.3397999054460039e-08
down,outer,10,1.9955132511709163e-04,1.7689501401146431e-08,1.4661950758617055e-09,1.2064903021686961e+01,1.7627826309762895e-08,3.7260965101115872e-16,4.7309097501704231e+07,1.4567733686021711e-09,1.7629414941332938e-08
down,outer,11,2.4138468860542250e-04,6.1722699388749407e-08,5.1158502988325325e-09,1.2064993262769026e+01,6.1694973155169850e-08,1.9079947175325618e-15,3.2334981113026567e+07,-1.5008816411921089e-08,-5.9870084764823694e-08
down,outer,12,2.8717336515268158e-04,3.3400179099655778e-08,2.7683318527050744e-09,1.2065092220435496e+01,3.3390466059705731e-08,1.4614265562042954e-15,2.2847857744168445e+07,3.8203618046850352e-09,3.3180970443469349e-08
down,outer,13,3.3690950910486318e-04,8.7899030466173931e-09,7.2853356651060874e-10,1.2065199807769456e+01,8.7788704606045891e-09,5.2879341379273332e-16,1.6601701593896117e+07,1.0267164896049508e-09,8.7297336052657992e-09
down,outer,14,3.9058459842974171e-04,1.8795132408820107e-08,1.5577820142628127e-09,1.2065316094764713e+01,1.8759284547148507e-08,1.5185127387199598e-15,1.2353722210431878e+07,-3.0339180057126214e-09,-1.8548648031586901e-08
down,outer,15,4.4818943617708381e-04,2.9839349961110103e-09,2.4731254883690872e-10,1.2065441119523530e+01,2.7738699768787754e-09,2.9561657902500922e-16,9.3833369766588956e+06,2.1641000103045371e-09,-2.0543950950135947e-09
down,outer,16,5.0971415205448769e-04,1.4735120177815040e-08,1.2212530557434806e-09,1.2065574868792872e+01,1.5005883838659889e-08,2.0681325912662423e-15,7.2557648876237338e+06,5.3465623039983257e-09,1.3730915416829137e-08
down,outer,17,5.7514820411862417e-04,3.7964802179117146e-08,3.1465018617524271e-09,1.2065717373506606e+01,3.7904580519000730e-08,6.6505117282893549e-15,5.6994983345064409e+06,-4.6853374513489143e-09,-3.7674577867130576e-08
down,outer,18,6.4448038058152236e-04,3.0072346273215921e-08,2.4923482150288152e-09,1.2065868682345512e+01,3.0023316265412485e-08,6.6133085530580828e-15,4.5398329783855770e+06,5.4065081300791462e-09,2.9582354203402939e-08
down,outer,19,7.1769880173166826e-04,2.3045177549806463e-09,1.9099223079334072e-10,1.2066028787706045e+01,2.2240811498548811e-09,6.0744808936824971e-16,3.6613517908467557e+06,-2.1803963079491950e-09,-7.4610590622414819e-10
down,outer,20,7.9479092196953010e-04,2.0734479068513474e-08,1.7183937737264139e-09,1.2066197739735653e+01,2.0723765214080029e-08,6.9403030761369890e-15,2.9860029146760246e+06,1.1228600271806499e-09,2.0704052926950878e-08
down,outer,21,8.7574353195717645e-04,8.6487664041260979e-09,7.1676588916252563e-10,1.2066375555666269e+01,8.6879473651036119e-09,3.5318433288307626e-15,2.4598903621185846e+06,2.4217854388552951e-09,8.3027775835131656e-09
down,outer,22,9.6054276088162875e-04,5.4023387796881100e-09,4.4771150742657091e-10,1.2066562261802368e+01,5.3970589626400883e-09,2.6390272322712141e-15,2.0450940773336552e+06,5.3087312323896185e-10,-5.3761917764849620e-09
