l_source,m,a,omega,l_target,coefficient,abs_coefficient,relative_abs_weight
0,0,0.0000000000000000e+00,1.0000000000000000e-02,0,7.9577471545947645e-02+0.0000000000000000e+00j,7.9577471545947645e-02,9.9999999999979072e-01
0,0,0.0000000000000000e+00,1.0000000000000000e-02,1,0.0000000000000000e+00+0.0000000000000000e+00j,0.0000000000000000e+00,0.0000000000000000e+00
0,0,0.0000000000000000e+00,1.0000000000000000e-02,2,7.1991785716709413e-15+0.0000000000000000e+00j,7.1991785716709413e-15,9.0467546050551057e-14
0,0,0.0000000000000000e+00,1.0000000000000000e-02,3,5.4497945281384871e-18+0.0000000000000000e+00j,5.4497945281384871e-18,6.8484137812680587e-17
0,0,0.0000000000000000e+00,1.0000000000000000e-02,4,9.4540310576882401e-15+0.0000000000000000e+00j,9.4540310576882401e-15,1.1880285807054765e-13
0,0,0.0000000000000000e+00,1.0000000000000001e-01,0,7.9577471545947645e-02+0.0000000000000000e+00j,7.9577471545947645e-02,9.9999999999979072e-01
0,0,0.0000000000000000e+00,1.0000000000000001e-01,1,0.0000000000000000e+00+0.0000000000000000e+00j,0.0000000000000000e+00,0.0000000000000000e+00
0,0,0.0000000000000000e+00,1.0000000000000001e-01,2,7.1991785716709413e-15+0.0000000000000000e+00j,7.1991785716709413e-15,9.0467546050551057e-14
0,0,0.0000000000000000e+00,1.0000000000000001e-01,3,5.4497945281384871e-18+0.0000000000000000e+00j,5.4497945281384871e-18,6.8484137812680587e-17
0,0,0.0000000000000000e+00,1.0000000000000001e-01,4,9.4540310576882401e-15+0.0000000000000000e+00j,9.4540310576882401e-15,1.1880285807054765e-13
0,0,0.0000000000000000e+00,5.0000000000000000e-01,0,7.9577471545947645e-02+0.0000000000000000e+00j,7.9577471545947645e-02,9.9999999999979072e-01
0,0,0.0000000000000000e+00,5.0000000000000000e-01,1,0.0000000000000000e+00+0.0000000000000000e+00j,0.0000000000000000e+00,0.0000000000000000e+00
