label,l,m,a,omega,omega_h,m_omega_h,p_horizon,superradiant,N,r_match,mapping,B_inc,B_ref,abs_B_inc,abs_B_ref,reflection_amplitude,R,T,amplification,flux_balance_error,self_rel_abs_B_inc,self_rel_abs_B_ref,self_abs_R,self_abs_T,score,passed,cond_outer_down,cond_outer_up,cond_inner
schwarzschild_l0,0,0,0.0000000000000000e+00,1.0000000000000000e-02,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e-02,false,128,3.0000000000000000e+01,sinh,-2.0041376563016211e+00+4.8262801542703016e+01j,-3.9418283112373880e+00-4.8101731466338094e+01j,4.8304395043264364e+01,4.8262973183331468e+01,-9.9156126328044580e-01+1.2284934541691904e-01j,9.9828570050767895e-01,1.7142994919914091e-03,-1.7142994923210475e-03,3.2962521601120898e-13,2.5159911860495907e-10,2.5190029660802644e-10,6.0085270092713472e-13,8.6263223127158728e-13,2.5159911860495907e-10,true,1.1426734560163660e+08,1.1426734560163660e+08,3.2079794978590026e+07
schwarzschild_l0,0,0,0.0000000000000000e+00,2.0000000000000000e-02,0.0000000000000000e+00,0.0000000000000000e+00,2.0000000000000000e-02,false,128,3.0000000000000000e+01,sinh,-1.2086402595356474e+00+2.3210530313196465e+01j,-3.0923192856675259e+00-2.2948357024677492e+01j,2.3241977727740434e+01,2.3155766640225416e+01,-9.7911197214676038e-01+1.8421437925381945e-01j,9.9259519152498854e-01,7.4048084746294075e-03,-7.4048084750114596e-03,3.8202774277351637e-13,3.9468452015162510e-11,4.0274518012610851e-11,1.6004975122996257e-12,5.8451247314517119e-13,3.9468452015162510e-11,true,1.6755898821097583e+08,1.6755898821097583e+08,2.3603927899936818e+07
schwarzschild_l0,0,0,0.0000000000000000e+00,5.0000000000000003e-02,0.0000000000000000e+00,0.0000000000000000e+00,5.0000000000000003e-02,false,128,3.0000000000000000e+01,sinh,-5.8228227882943955e-02+8.2116186798870814e+00j,-1.8357968690584250e+00-7.7500917237039086e+00j,8.2118251241969862e+00,7.9645509522049354e+00,-9.4216322711281708e-01+2.3024173891324418e-01j,9.4068280486143230e-01,5.9317195136724551e-02,-5.9317195138567702e-02,1.8431922654826849e-12,2.9459770706061044e-11,2.9828196060657336e-11,6.9300121197102271e-13,3.4949473870504733e-12,2.9459770706061044e-11,true,3.1597400245546758e+08,3.1597400245546758e+08,1.5965143078405512e+07
schwarzschild_l0,0,0,0.0000000000000000e+00,8.0000000000000002e-02,0.0000000000000000e+00,0.0000000000000000e+00,8.0000000000000002e-02,false,128,3.0000000000000000e+01,sinh,5.6661176540643399e-01+4.5635183509920045e+00j,-1.1692637178395777e+00-3.9723508141539390e+00j,4.5985594083949568e+00,4.1408632714164195e+00,-8.8857226909332698e-01+1.4589362078771514e-01j,8.1084562598821353e-01,1.8915437401309709e-01,-1.8915437401178647e-01,1.3105072582675348e-12,1.3607679454236305e-11,1.5331611091581857e-11,2.7956525983086067e-12,5.1478821205819258e-12,1.3607679454236305e-11,true,4.6838158068577391e+08,4.6838158068577391e+08,1.2331564663838791e+07
schwarzschild_l0,0,0,0.0000000000000000e+00,1.0000000000000001e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000001e-01,false,128,3.0000000000000000e+01,linear,8.5621992639893352e-01+3.4049762474188765e+00j,-8.7426391535115244e-01-2.7500251660968855e+00j,3.5109793231873825e+00,2.8856499801346889e+00,-8.2034172154212559e-01+5.0476412879727151e-02j,6.7550840835990311e-01,3.2449159164025926e-01,-3.2449159164009689e-01,1.6231460620019789e-13,1.0972647631395514e-12,1.1489855192284971e-12,6.9722005946459831e-14,7.1209704799457541e-13,1.0972647631395514e-12,true,1.7424521948117206e+09,1.7424521948117206e+09,9.6884776519434452e+06
schwarzschild_l0,0,0,0.0000000000000000e+00,1.4999999999999999e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.4999999999999999e-01,false,128,3.0000000000000000e+01,linear,1.3273059948946986e+00+1.9851723469330487e+00j,-4.2710852859303333e-01-1.2329755698811393e+00j,2.3880222886545832e+00,1.3048564867910288e+00,-5.2862659952389301e-01-1.3829566306420446e-01j,2.9857177214656233e-01,7.0142822785511283e-01,-7.0142822785343761e-01,1.6751044995544362e-12,1.6418873694720781e-12,1.3153973739206421e-12,1.9495516312417749e-13,2.3032686868873498e-12,1.6751044995544362e-12,true,1.7419864110535715e+09,1.7419864110535715e+09,7.2366275767560247e+06
schwarzschild_l0,0,0,0.0000000000000000e+00,2.0000000000000001e-01,0.0000000000000000e+00,0.0000000000000000e+00,2.0000000000000001e-01,false,128,3.0000000000000000e+01,linear,1.5847309689127220e+00+1.3745432461488429e+00j,-2.1004945088515148e-01-5.9717719944834435e-01j,2.0977944082689448e+00,6.3304137254852566e-01,-2.6216440745337127e-01-1.4943917197830836e-01j,9.1062242656939699e-02,9.0893775734162174e-01,-9.0893775734306026e-01,1.4385159730068153e-12,1.1948610012718686e-11,6.5146365247768161e-12,3.3626573747724819e-12,2.1721069387581338e-11,1.1948610012718686e-11,true,1.7418091428527362e+09,1.7418091428527362e+09,6.3181001681957552e+06
schwarzschild_l0,0,0,0.0000000000000000e+00,2.9999999999999999e-01,0.0000000000000000e+00,0.0000000000000000e+00,2.9999999999999999e-01,false,128,3.0000000000000000e+01,linear,1.8132017103488509e+00+8.5920791413155695e-01j,-5.1740887242857823e-02-1.5251741779007646e-01j,2.0064741917399038e+00,1.6105490412288245e-01,-5.5853020973867948e-02-5.7648335287011507e-02j,6.4428905132710296e-03,9.9355710949262332e-01,-9.9355710948672893e-01,5.8943960823398811e-12,8.0258299550519367e-10,9.4468238402555852e-09,1.1138779221903095e-10,1.5948241616214887e-09,8.0258299550519367e-10,true,1.7416776610036316e+09,1.7416776610036316e+09,5.9543281348290881e+06
schwarzschild_l0,0,0,0.0000000000000000e+00,5.0000000000000000e-01,0.0000000000000000e+00,0.0000000000000000e+00,5.0000000000000000e-01,false,128,2.0000000000000000e+01,linear,1.9355637663756728e+00+5.0371389244967768e-01j,-3.3693580484230167e-03-1.1109751439088655e-02j,2.0000336945044666e+00,1.1609442307742669e-02,-3.0293338012402867e-03-4.9514431324999345e-03j,3.3693652373717687e-05,9.9996630634700412e-01,-9.9996630634762629e-01,6.2216898299993773e-13,7.4072832279356272e-13,6.9032759391948240e-11,4.7018460088907310e-15,1.4813705817573464e-12,7.4072832279356272e-13,true,1.6794879155974247e+09,1.6794879155974247e+09,1.3406668810180800e+07
schwarzschild_l0,0,0,0.0000000000000000e+00,8.0000000000000004e-01,0.0000000000000000e+00,0.0000000000000000e+00,8.0000000000000004e-01,false,128,2.0000000000000000e+01,linear,1.9753071509186340e+00+3.1330770755889154e-01j,-6.2388941699031687e-05-2.3706766420974497e-04j,2.0000000150215245e+00,2.4513966929118097e-04,-4.9378111529825293e-05-1.1218362733091530e-04j,1.5023364139373552e-08,9.9999998497847575e-01,-9.9999998497663589e-01,1.8398615964088094e-12,3.7772007459957836e-12,2.0646553850068984e-08,6.2047485447793059e-16,7.5544015487594152e-12,3.7772007459957836e-12,true,1.6794205916685915e+09,1.6794205916685915e+09,1.3278196479226911e+07
