label,l,m,a,omega,omega_h,m_omega_h,p_horizon,superradiant,N,r_match,quad_order,tail_epsrel,B_inc,B_ref,A_ref_1_unit_horizon,A_hor_1_unit_horizon,A_ref_1_fixed_incident,A_hor_1_fixed_incident,T0,R0,linear_balance,T1,R1,nonlinear_balance,abs_nonlinear_balance,wronskian_relative_error,elapsed_s,rss_mb_before,rss_mb_after,status
kerr_a0.5_l2m0_hires,2,0,5.0000000000000000e-01,8.0000000000000002e-02,1.3397459621556135e-01,0.0000000000000000e+00,8.0000000000000002e-02,false,240,4.0000000000000000e+01,192,9.9999999999999994e-12,1.3961712199435551e+04-1.4471780052196069e+04j,4.8202889607916286e+03+1.9522464906370711e+04j,-2.8065597092742788e+12+6.9247280181390149e+11j,2.3083905781832412e+07+7.1876217103374273e+07j,-3.0093663184352915e-01-1.8927341103463757e-01j,-4.3905119185709180e-06+8.1804944703492346e-06j,9.2294835292665250e-09,9.9999999076816382e-01,9.9999999999764733e-01,1.0537717203338538e-09,-1.1807108773260592e-04,-1.1807003396088559e-04,1.1807003396088559e-04,3.1604587263730019e-16,4.988268e+00,8.570703e+01,8.575781e+01,ok
kerr_a0.5_l2m0_hires,2,0,5.0000000000000000e-01,1.4000000000000001e-01,1.3397459621556135e-01,0.0000000000000000e+00,1.4000000000000001e-01,false,240,4.0000000000000000e+01,192,9.9999999999999994e-12,2.2245575814630565e+03-1.1087877259321012e+03j,7.2825275611529537e+02+2.3764912887667128e+03j,-5.4734139992753992e+09+1.6774632096402194e+09j,3.7605598558425962e+05+1.1516326153050428e+06j,-3.6773445213496447e-01-6.1234795607740498e-02j,-1.1537205478874887e-05+7.8044427589061340e-05j,6.0408069649060268e-07,9.9999939591962050e-01,1.0000000000003171e+00,7.3540210683413674e-08,2.3468279615932320e-05,2.3541819826615734e-05,2.3541819826615734e-05,1.8263367863877360e-16,4.468574e+00,8.575781e+01,8.571484e+01,ok
kerr_a0.5_l2m0_hires,2,0,5.0000000000000000e-01,2.0000000000000001e-01,1.3397459621556135e-01,0.0000000000000000e+00,2.0000000000000001e-01,false,240,4.0000000000000000e+01,192,9.9999999999999994e-12,5.0538809706163954e+02-1.3846236376581373e+02j,1.7625899371959309e+02+4.9347541976603844e+02j,-5.3416603314339727e+07+1.9077929453008525e+07j,1.8066374762836098e+04+5.4123280476314016e+04j,-3.9307754365102887e-01+2.9782444062978201e-02j,2.1704417432114883e-05+3.9595667602250668e-04j,1.3591409056722926e-05,9.9998640859064203e-01,9.9999999999969880e-01,1.7884731723801975e-06,-1.7705862962533356e-05,-1.5917389790153158e-05,1.5917389790153158e-05,3.1980384706528601e-16,3.970554e+00,8.571484e+01,8.533203e+01,ok
kerr_a0.5_l2m0_hires,2,0,5.0000000000000000e-01,2.8000000000000003e-01,1.3397459621556135e-01,0.0000000000000000e+00,2.8000000000000003e-01,false,240,4.0000000000000000e+01,192,9.9999999999999994e-12,9.0178409230962032e+01-2.0943163295843682e+01j,3.7430778216249713e+01+8.4652031113142556e+01j,-3.1427379456939246e+05+1.3893456295059898e+05j,6.4837223425161369e+02+1.8563364625199497e+03j,-4.2541941841451297e-01+8.0958019460935338e-02j,2.6670520921701974e-04+2.4637282247746231e-03j,4.3543981157556085e-04,9.9956456018829209e-01,9.9999999999986766e-01,6.5881446093073344e-05,-6.5881446113249032e-05,-2.0175687834821099e-14,2.0175687834821099e-14,2.7624164828670325e-16,3.373886e+00,8.533203e+01,8.522266e+01,ok
kerr_a0.5_l2m0_hires,2,0,5.0000000000000000e-01,3.4999999999999998e-01,1.3397459621556135e-01,0.0000000000000000e+00,3.4999999999999998e-01,false,240,4.0000000000000000e+01,192,9.9999999999999994e-12,2.2025504709086974e+01-9.7735613478308494e+00j,1.1448291354684496e+01+2.1115158852391680e+01j,-5.9619779436551398e+03+3.2230926163314266e+03j,5.3147175548448907e+01+1.4126313820454641e+02j,-4.8292194467592670e-01+3.7729559230261459e-02j,-6.2301997490070676e-04+1.0769211062309802e-02j,6.4274186455057546e-03,9.9357258135659821e-01,1.0000000000021039e+00,1.1766188835118430e-03,-1.1766188831109441e-03,4.0089893210693006e-13,4.0089893210693006e-13,3.2029308255457449e-16,2.168253e+00,8.522266e+01,8.528906e+01,ok
kerr_a0.5_l2m0_hires,2,0,5.0000000000000000e-01,4.1999999999999998e-01,1.3397459621556135e-01,0.0000000000000000e+00,4.1999999999999998e-01,false,240,4.0000000000000000e+01,192,9.9999999999999994e-12,4.5057540107245035e+00-5.5018295710279146e+00j,3.8162042250311843e+00+5.6812395072836317e+00j,-1.6656175450949689e+02+1.0776684028566976e+02j,6.2658419961721368e+00+1.4730484195661143e+01j,-5.2527451593964569e-01-1.6845349876556764e-01j,-2.0649782384790941e-02+3.9430955692952067e-02j,7.3796857100187740e-02,9.2620314290056294e-01,1.0000000000007507e+00,1.8286795989093756e-02,-1.8286795988908776e-02,1.8498050313731085e-13,1.8498050313731085e-13,2.9736926934539945e-16,1.703743e+00,8.529297e+01,8.567578e+01,ok
kerr_a0.5_l2m0_hires,2,0,5.0000000000000000e-01,4.6000000000000002e-01,1.3397459621556135e-01,0.0000000000000000e+00,4.6000000000000002e-01,false,240,4.0000000000000000e+01,192,9.9999999999999994e-12,9.6731636728605552e-01-3.8255477886148008e+00j,2.0854473263979330e+00+2.7366723367244448e+00j,-2.8105149988203419e+01+1.8469653434034065e+01j,2.1613907995631378e+00+5.1246909971705081e+00j,-4.0357495483681094e-01-3.6978728154120405e-01j,-7.2240264667786366e-02+5.4552248043541550e-02j,2.3968702173108095e-01,7.6031297826550936e-01,9.9999999999659028e-01,6.6543368977971334e-02,-6.6543368978973644e-02,-1.0023093466315913e-12,1.0023093466315913e-12,1.2232940955827516e-16,1.595911e+00,8.567578e+01,8.529297e+01,ok
kerr_a0.5_l2m0_hires,2,0,5.0000000000000000e-01,5.0000000000000000e-01,1.3397459621556135e-01,0.0000000000000000e+00,5.0000000000000000e-01,false,240,4.0000000000000000e+01,192,9.9999999999999994e-12,-7.5716040881561675e-01-2.5006840559445469e+00j,1.1525639678227777e+00+1.3290064427345576e+00j,-6.5126301980167600e+00+3.6141009682611003e+00j,7.2428259148684138e-01+2.2613495070460252e+00j,-8.8117295768766535e-02-4.0817274215621235e-01j,-1.3310698751629996e-01+2.1242296777968166e-03j,5.4668344905758970e-01,4.5331655094081708e-01,9.9999999999840683e-01,1.1600116381962731e-01,-1.1600116382005170e-01,-4.2438275116296609e-13,4.2438275116296609e-13,4.2491730556696236e-17,1.835533e+00,8.529297e+01,8.567969e+01,ok
kerr_a0.5_l2m0_hires,2,0,5.0000000000000000e-01,5.5000000000000004e-01,1.3397459621556135e-01,0.0000000000000000e+00,5.5000000000000004e-01,false,240,4.0000000000000000e+01,192,9.9999999999999994e-12,-1.6748796516705091e+00-1.2362820896012530e+00j,5.5532244945259102e-01+5.4146229991689987e-01j,-1.5760030870171102e+00+5.8804352994220754e-01j,1.4919049101008217e-01+1.0476053885077365e+00j,1.0184266741862566e-01-1.5619020178493878e-01j,-8.2268035259002878e-02-8.3607717023575986e-02j,8.6118646672378130e-01,1.3881353328024212e-01,1.0000000000040234e+00,5.9294987824878742e-02,-5.9294987824628685e-02,2.5005691961510479e-13,2.5005691961510479e-13,0.0000000000000000e+00,1.720660e+00,8.567969e+01,8.573828e+01,ok
kerr_a0.5_l2m0_hires,2,0,5.0000000000000000e-01,6.2000000000000000e-01,1.3397459621556135e-01,0.0000000000000000e+00,6.2000000000000000e-01,false,240,4.0000000000000000e+01,192,9.9999999999999994e-12,-1.9483979892251135e+00-1.5306133943292492e-02j,2.0236123710344808e-01+1.5325835841263952e-01j,-3.3680892149294100e-01+1.0121058353834728e-01j,1.4106373372510455e-02+5.3707561975887763e-01j,4.5422448505419773e-02-1.4039348128502554e-02j,-2.4772473814661691e-03-7.2587058977195598e-02j,9.8302689812947186e-01,1.6973101902530485e-02,1.0000000000320024e+00,7.3051413831948624e-03,-7.3051413827746247e-03,4.2023762941711951e-13,4.2023762941711951e-13,3.3027471712340428e-17,1.632193e+00,8.573828e+01,8.524219e+01,ok
