label,l,m,a,omega,omega_h,m_omega_h,p_horizon,superradiant,N,r_match,quad_order,tail_epsrel,B_inc,B_ref,A_ref_1_unit_horizon,A_hor_1_unit_horizon,A_ref_1_fixed_incident,A_hor_1_fixed_incident,T0,R0,linear_balance,T1,R1,nonlinear_balance,abs_nonlinear_balance,wronskian_relative_error,elapsed_s,rss_mb_before,rss_mb_after,status
kerr_a0.5_l2m0,2,0,5.0000000000000000e-01,8.0000000000000002e-02,1.3397459621556135e-01,0.0000000000000000e+00,8.0000000000000002e-02,false,224,4.0000000000000000e+01,160,9.9999999999999994e-12,1.3961713295654803e+04-1.4471776562068930e+04j,4.8202854218317752e+03+1.9522463977018440e+04j,-2.8064611818140151e+12+6.9283452914478833e+11j,2.3092801964897767e+07+7.1875429710056409e+07j,-3.0096034328102916e-01-1.8923380464885600e-01j,-4.3896824377452664e-06+8.1812174559061601e-06j,9.2294851362819915e-09,9.9999999077409019e-01,1.0000000000035754e+00,1.0541781948865703e-09,-2.5769734137461993e-05,-2.5768679959267105e-05,2.5768679959267105e-05,1.4134002334730920e-16,4.216737e+00,7.726953e+01,8.373438e+01,ok
kerr_a0.5_l2m0,2,0,5.0000000000000000e-01,1.4000000000000001e-01,1.3397459621556135e-01,0.0000000000000000e+00,1.4000000000000001e-01,false,224,4.0000000000000000e+01,160,9.9999999999999994e-12,2.2245575804093614e+03-1.1087877274001648e+03j,7.2825275782244751e+02+2.3764912879421049e+03j,-5.4738585129968691e+09+1.6773875771117003e+09j,3.7606084666253882e+05+1.1517364667322624e+06j,-3.6775816249753968e-01-6.1252116986082954e-02j,-1.1539939086689536e-05+7.8050621546295429e-05j,6.0408069663066709e-07,9.9999939591955544e-01,1.0000000000002520e+00,7.3541161333208294e-08,-2.9131090064177375e-06,-2.8395678450845293e-06,2.8395678450845293e-06,3.6526735732311244e-16,3.453229e+00,8.373828e+01,8.480078e+01,ok
kerr_a0.5_l2m0,2,0,5.0000000000000000e-01,2.0000000000000001e-01,1.3397459621556135e-01,0.0000000000000000e+00,2.0000000000000001e-01,false,224,4.0000000000000000e+01,160,9.9999999999999994e-12,5.0538809712554922e+02-1.3846236373315017e+02j,1.7625899368084779e+02+4.9347541983623807e+02j,-5.3420444302278787e+07+1.9078326238724969e+07j,1.8066375606189806e+04+5.4123280479032997e+04j,-3.9310401771275183e-01+2.9778050118472069e-02j,2.1704423109965000e-05+3.9595667746729492e-04j,1.3591409053973198e-05,9.9998640859090737e-01,9.9999999999996136e-01,1.7884732551439782e-06,-3.0469975506490523e-05,-2.8681502251346546e-05,2.8681502251346546e-05,1.0169741996225923e-16,2.985645e+00,8.480469e+01,8.407422e+01,ok
kerr_a0.5_l2m0,2,0,5.0000000000000000e-01,2.8000000000000003e-01,1.3397459621556135e-01,0.0000000000000000e+00,2.8000000000000003e-01,false,224,4.0000000000000000e+01,160,9.9999999999999994e-12,9.0178409232092406e+01-2.0943163290931729e+01j,3.7430778213757883e+01+8.4652031114212235e+01j,-3.1427379458522168e+05+1.3893456294653556e+05j,6.4837223490282122e+02+1.8563364712045091e+03j,-4.2541941842851860e-01+8.0958019474622070e-02j,2.6670520767467374e-04+2.4637282356079061e-03j,4.3543981157565605e-04,9.9956456018787565e-01,9.9999999999945133e-01,6.5881446159271679e-05,-6.5881446242444433e-05,-8.3172753623586559e-14,8.3172753623586559e-14,2.9274798092605826e-16,2.355182e+00,8.407812e+01,8.410938e+01,ok
kerr_a0.5_l2m0,2,0,5.0000000000000000e-01,3.4999999999999998e-01,1.3397459621556135e-01,0.0000000000000000e+00,3.4999999999999998e-01,false,224,4.0000000000000000e+01,160,9.9999999999999994e-12,2.2025504709226720e+01-9.7735613479498369e+00j,1.1448291354564402e+01+2.1115158852635421e+01j,-5.9619779445291470e+03+3.2230926180961224e+03j,5.3147167828613675e+01+1.4126312830209892e+02j,-4.8292194477368111e-01+3.7729559318339809e-02j,-6.2302019217653137e-04+1.0769210191369453e-02j,6.4274186454118653e-03,9.9357258135507620e-01,1.0000000000004881e+00,1.1766187125689703e-03,-1.1766187124840398e-03,8.4930543500782996e-14,8.4930543500782996e-14,2.3548415765259521e-16,1.886464e+00,8.410938e+01,8.412500e+01,ok
kerr_a0.5_l2m0,2,0,5.0000000000000000e-01,4.1999999999999998e-01,1.3397459621556135e-01,0.0000000000000000e+00,4.1999999999999998e-01,false,224,4.0000000000000000e+01,160,9.9999999999999994e-12,4.5057540106227787e+00-5.5018295711648504e+00j,3.8162042249322967e+00+5.6812395074077262e+00j,-1.6656175144141224e+02+1.0776683230790898e+02j,6.2658509954284991e+00+1.4730497030148449e+01j,-5.2527449335925180e-01-1.6845350622961522e-01j,-2.0649794140759979e-02+3.9430997662650631e-02j,7.3796857099326610e-02,9.2620314290271233e-01,1.0000000000020390e+00,1.8286822252904941e-02,-1.8286822252411742e-02,4.9319923145496603e-13,4.9319923145496603e-13,2.6804503709254831e-16,1.346869e+00,8.412891e+01,8.414453e+01,ok
kerr_a0.5_l2m0,2,0,5.0000000000000000e-01,4.6000000000000002e-01,1.3397459621556135e-01,0.0000000000000000e+00,4.6000000000000002e-01,false,224,4.0000000000000000e+01,160,9.9999999999999994e-12,9.6731636723341952e-01-3.8255477885993332e+00j,2.0854473263634561e+00+2.7366723367197960e+00j,-2.8105136573181319e+01+1.8469665092380236e+01j,2.1613747541844028e+00+5.1246943192967587e+00j,-4.0357508527676450e-01-3.6978702335861247e-01j,-7.2240381110304952e-02+5.4552008114047451e-02j,2.3968702173447026e-01,7.6031297826539146e-01,9.9999999999986167e-01,6.6542874986098052e-02,-6.6542874986193865e-02,-9.5812247025151009e-14,9.5812247025151009e-14,1.2232940955754568e-16,1.402888e+00,8.414453e+01,8.416406e+01,ok
kerr_a0.5_l2m0,2,0,5.0000000000000000e-01,5.0000000000000000e-01,1.3397459621556135e-01,0.0000000000000000e+00,5.0000000000000000e-01,false,224,4.0000000000000000e+01,160,9.9999999999999994e-12,-7.5716040885601543e-01-2.5006840559295473e+00j,1.1525639678057900e+00+1.3290064427499753e+00j,-6.5126583605632353e+00+3.6141135294431646e+00j,7.2428681572981835e-01+2.2613355989286870e+00j,-8.8117512224021199e-02-4.0817445738617014e-01j,-1.3310630986301689e-01+2.1246823013618527e-03j,5.4668344905869815e-01,4.5331655094200290e-01,1.0000000000007010e+00,1.1600184037522601e-01,-1.1600184037516320e-01,6.2810867618168231e-14,6.2810867618168231e-14,4.2491730556534427e-17,1.572445e+00,8.416797e+01,8.419922e+01,ok
kerr_a0.5_l2m0,2,0,5.0000000000000000e-01,5.5000000000000004e-01,1.3397459621556135e-01,0.0000000000000000e+00,5.5000000000000004e-01,false,224,4.0000000000000000e+01,160,9.9999999999999994e-12,-1.6748796517120967e+00-1.2362820895465214e+00j,5.5532244944445930e-01+5.4146229993338912e-01j,-1.5759827157829915e+00+5.8800261630060258e-01j,1.4919339573180823e-01+1.0476144319300407e+00j,1.0184354395415221e-01-1.5618521195632670e-01j,-8.2268889627342273e-02-8.3608332332485547e-02j,8.6118646672299026e-01,1.3881353328215101e-01,1.0000000000051412e+00,5.9296142291372977e-02,-5.9296142291045982e-02,3.2699537522162814e-13,3.2699537522162814e-13,2.1682400740430292e-16,1.411898e+00,8.420312e+01,8.420703e+01,ok
kerr_a0.5_l2m0,2,0,5.0000000000000000e-01,6.2000000000000000e-01,1.3397459621556135e-01,0.0000000000000000e+00,6.2000000000000000e-01,false,224,4.0000000000000000e+01,160,9.9999999999999994e-12,-1.9483979892479097e+00-1.5306133966183532e-02j,2.0236123710484061e-01+1.5325835841165453e-01j,-3.3683531773358166e-01+1.0126521406462459e-01j,1.4105561215947695e-02+5.3707157358003088e-01j,4.5425958740662048e-02-1.4046761130336845e-02j,-2.4771332978518424e-03-7.2586512873424741e-02j,9.8302689810628907e-01,1.6973101902199129e-02,1.0000000000084881e+00,7.3047207985966990e-03,-7.3047207983511836e-03,2.4551541355499751e-13,2.4551541355499751e-13,1.8380505996669991e-16,1.273761e+00,8.421094e+01,8.421484e+01,ok
