label,scan,l,m,a,omega,N_outer,N_inner,r_match,quad_order,A_ref_1,A_hor_1,abs_A_ref_1,abs_A_hor_1,rel_A_ref_to_base,rel_A_hor_to_base,wronskian_relative_error,elapsed_s,rss_mb_before,rss_mb_after,status
schwarzschild_l0,N_scan,0,0,0.0000000000000000e+00,1.0000000000000001e-01,256,256,3.0000000000000000e+01,96,2.1537846363711676e+01-4.4363440559863516e+00j,1.6574260227127258e+00+3.8658693396913244e+00j,2.1989997148020134e+01,4.2061867258041170e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.5810731457436905e-16,1.315200e+00,7.697656e+01,8.440625e+01,ok
schwarzschild_l0,N_scan,0,0,0.0000000000000000e+00,1.0000000000000001e-01,224,224,3.0000000000000000e+01,96,2.1537846363777469e+01-4.4363440559246348e+00j,1.6574260227240485e+00+3.8658693396795121e+00j,2.1989997148072124e+01,4.2061867257977221e+00,4.1022708520455455e-12,3.8901300334219003e-12,1.5810731457452603e-16,1.253836e+00,8.440625e+01,8.334766e+01,ok
schwarzschild_l0,N_scan,0,0,0.0000000000000000e+00,1.0000000000000001e-01,288,288,3.0000000000000000e+01,96,2.1537846363580439e+01-4.4363440560705012e+00j,1.6574260227234801e+00+3.8658693396886421e+00j,2.1989997147908571e+01,4.2061867258058898e+00,7.0895222220263741e-12,2.6351053015439821e-12,7.9053657285822050e-17,1.576367e+00,8.334766e+01,8.412891e+01,ok
schwarzschild_l0,r_match_scan,0,0,0.0000000000000000e+00,1.0000000000000001e-01,256,256,3.0000000000000000e+01,96,2.1537846363711676e+01-4.4363440559863516e+00j,1.6574260227127258e+00+3.8658693396913244e+00j,2.1989997148020134e+01,4.2061867258041170e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.5810731457436905e-16,1.439061e+00,8.412891e+01,8.480469e+01,ok
schwarzschild_l0,r_match_scan,0,0,0.0000000000000000e+00,1.0000000000000001e-01,256,256,2.5000000000000000e+01,96,2.1537846608899976e+01-4.4363443263183076e+00j,1.6574258902012584e+00+3.8658691124320907e+00j,2.1989997442704734e+01,4.2061864647166933e+00,1.6596691014321749e-08,6.2543686640010928e-08,1.5810731457351225e-16,1.458913e+00,8.480469e+01,8.426953e+01,ok
schwarzschild_l0,r_match_scan,0,0,0.0000000000000000e+00,1.0000000000000001e-01,256,256,3.5000000000000000e+01,96,2.1537846188414058e+01-4.4363438611432642e+00j,1.6574261180646757e+00+3.8658695013537563e+00j,2.1989996937018557e+01,4.2061869119595814e+00,1.1918767093207453e-08,4.4621858561923598e-08,0.0000000000000000e+00,1.476617e+00,8.426953e+01,8.482812e+01,ok
kerr_a05_l2m2_sub,N_scan,2,2,5.0000000000000000e-01,2.3999999999999999e-01,256,256,4.0000000000000000e+01,96,-1.1621027869788583e+07+1.7694067193621140e+07j,8.3059953672841657e+03+2.4733441768125336e+04j,2.1169041135648608e+07,2.6090854733768170e+04,0.0000000000000000e+00,0.0000000000000000e+00,1.3836401135389149e-16,4.108457e+00,8.482812e+01,8.423047e+01,ok
kerr_a05_l2m2_sub,N_scan,2,2,5.0000000000000000e-01,2.3999999999999999e-01,224,224,4.0000000000000000e+01,96,-1.1620718323479241e+07+1.7693736808709532e+07j,8.3059925876061225e+03+2.4733441604965294e+04j,2.1168595055164356e+07,2.6090853694189391e+04,2.1386871288773285e-05,1.0672178026434132e-07,0.0000000000000000e+00,3.877071e+00,8.423047e+01,8.417578e+01,ok
kerr_a05_l2m2_sub,N_scan,2,2,5.0000000000000000e-01,2.3999999999999999e-01,288,288,4.0000000000000000e+01,96,-1.1621018072565330e+07+1.7694065086244393e+07j,8.3059956122227031e+03+2.4733441093643378e+04j,2.1169033995889913e+07,2.6090854172352996e+04,4.7339453142283758e-07,2.7503116636453260e-08,5.8702879230117571e-16,4.534873e+00,8.417578e+01,8.465625e+01,ok
kerr_a05_l2m2_sub,r_match_scan,2,2,5.0000000000000000e-01,2.3999999999999999e-01,256,256,4.0000000000000000e+01,96,-1.1621027869788583e+07+1.7694067193621140e+07j,8.3059953672841657e+03+2.4733441768125336e+04j,2.1169041135648608e+07,2.6090854733768170e+04,0.0000000000000000e+00,0.0000000000000000e+00,1.3836401135389149e-16,3.930547e+00,8.465625e+01,8.460156e+01,ok
