label,l,m,a,omega,quad_order,N_outer,N_inner,mapping,radial_weight_model,angular_coupling,wronskian,wronskian_relative_error,source_projection_ref,source_projection_hor,A_ref_1,A_hor_1,rel_A_ref_from_previous,rel_A_hor_from_previous,elapsed_s,rss_mb_before,rss_mb_after,status
schwarzschild_l0,0,0,0.0000000000000000e+00,1.0000000000000001e-01,64,128,128,linear,legacy-bondi-dr-over-r2,7.9577471545947659e-02+0.0000000000000000e+00j,-6.8099524948182932e-01+1.7124398527929746e-01j,2.2359750858100758e-16,1.9572397321640338e-02+2.3557376654854568e-03j,1.0565183682914436e-02+5.6211889549596600e-03j,2.6213452294481705e-02+1.0050927241459237e-02j,1.2639444573622790e-02+1.1432705031918665e-02j,inf,inf,1.322640e-01,7.702344e+01,8.202344e+01,ok
schwarzschild_l0,0,0,0.0000000000000000e+00,1.0000000000000001e-01,96,128,128,linear,legacy-bondi-dr-over-r2,7.9577471545947659e-02+0.0000000000000000e+00j,-6.8099524948182932e-01+1.7124398527929746e-01j,2.2359750858100758e-16,1.9572809971027890e-02+2.3544186012199961e-03j,1.0564367020636211e-02+5.6206169994114721e-03j,2.6214480312428255e-02+1.0049248782797117e-02j,1.2638515312481264e-02+1.1431631476809458e-02j,7.0108937764873038e-05,8.3311589540227050e-05,1.291035e-01,8.202344e+01,8.239844e+01,ok
schwarzschild_l0,0,0,0.0000000000000000e+00,1.0000000000000001e-01,128,128,128,linear,legacy-bondi-dr-over-r2,7.9577471545947659e-02+0.0000000000000000e+00j,-6.8099524948182932e-01+1.7124398527929746e-01j,2.2359750858100758e-16,1.9573081033289041e-02+2.3540133026544994e-03j,1.0564147619732608e-02+5.6203420556240327e-03j,2.6214995436854759e-02+1.0048783160450957e-02j,1.2638307782863310e-02+1.1431175552944324e-02j,2.4733178416377309e-05,2.9394883525540917e-05,1.367063e-01,8.239844e+01,8.254297e+01,ok
schwarzschild_l0,0,0,0.0000000000000000e+00,1.0000000000000001e-01,192,128,128,linear,legacy-bondi-dr-over-r2,7.9577471545947659e-02+0.0000000000000000e+00j,-6.8099524948182932e-01+1.7124398527929746e-01j,2.2359750858100758e-16,1.9573344298436594e-02+2.3537843580466104e-03j,1.0564047759271189e-02+5.6201110180548958e-03j,2.6215438545743160e-02+1.0048558394013831e-02j,1.2638250103051585e-02+1.1430821784118255e-02j,1.7697455165896890e-05,2.1033880186296712e-05,1.291899e-01,8.255078e+01,8.264453e+01,ok
kerr_a05_l2m2_sub,2,2,5.0000000000000000e-01,2.3999999999999999e-01,64,128,128,linear,legacy-bondi-dr-over-r2,1.1365780343666014e-01+0.0000000000000000e+00j,1.4268157105809067e+02+1.4777110321010360e+02j,3.0939133857861498e-16,1.5702347117948887e+05-2.9669964166327532e+04j,-9.3325007207662935e+01-3.6531408174821257e+02j,-4.2707141854168464e+02+6.5025061152405351e+02j,1.5949684249558096e+00+9.0848339449834603e-01j,inf,inf,1.292281e-01,8.264453e+01,8.276562e+01,ok
kerr_a05_l2m2_sub,2,2,5.0000000000000000e-01,2.3999999999999999e-01,96,128,128,linear,legacy-bondi-dr-over-r2,1.1365780343666014e-01+0.0000000000000000e+00j,1.4268157105809067e+02+1.4777110321010360e+02j,3.0939133857861498e-16,1.5702356191092191e+05-2.9669981310740932e+04j,-9.3325686591334659e+01-3.6531434787979367e+02j,-4.2707166531073182e+02+6.5025098725406099e+02j,1.5949716543491443e+00+9.0848191512414900e-01j,5.7782140317080698e-07,1.9351716311681947e-06,1.384221e-01,8.276562e+01,8.280078e+01,ok
kerr_a05_l2m2_sub,2,2,5.0000000000000000e-01,2.3999999999999999e-01,128,128,128,linear,legacy-bondi-dr-over-r2,1.1365780343666014e-01+0.0000000000000000e+00j,1.4268157105809067e+02+1.4777110321010360e+02j,3.0939133857861498e-16,1.5702351243375288e+05-2.9669971962044543e+04j,-9.3325860187710674e+01-3.6531421727248659e+02j,-4.2707153074257832e+02+6.5025078236438480e+02j,1.5949717839641386e+00+9.0848086550956542e-01j,3.1509376016287594e-07,5.7616656016845592e-07,2.016257e-01,8.280078e+01,8.285156e+01,ok
kerr_a05_l2m2_sub,2,2,5.0000000000000000e-01,2.3999999999999999e-01,192,128,128,linear,legacy-bondi-dr-over-r2,1.1365780343666014e-01+0.0000000000000000e+00j,1.4268157105809067e+02+1.4777110321010360e+02j,3.0939133857861498e-16,1.5702348323771500e+05-2.9669966445563408e+04j,-9.3326050206322876e+01-3.6531419219845941e+02j,-4.2707145133475086e+02+6.5025066146115057e+02j,1.5949723387054426e+00+9.0848011524615802e-01j,1.8593396908563442e-07,5.0833442175588553e-07,1.421584e-01,8.285156e+01,8.286719e+01,ok
kerr_a05_l2m2_super,2,2,5.0000000000000000e-01,2.9999999999999999e-01,64,128,128,linear,legacy-bondi-dr-over-r2,1.1364413397770708e-01+0.0000000000000000e+00j,4.8601578726527329e+01+8.1462169592988616e+01j,2.2471583305568214e-16,1.1115378027597288e+04+2.3038068971115440e+03j,-1.3894634663875900e+00-7.2503988323680090e+01j,-8.0893750683360963e+01+8.8185891330521955e+01j,6.6389536655042181e-01+3.7903360064506564e-01j,inf,inf,1.311111e-01,8.287109e+01,8.289453e+01,ok
kerr_a05_l2m2_super,2,2,5.0000000000000000e-01,2.9999999999999999e-01,96,128,128,linear,legacy-bondi-dr-over-r2,1.1364413397770708e-01+0.0000000000000000e+00j,4.8601578726527329e+01+8.1462169592988616e+01j,2.2471583305568214e-16,1.1115375461759446e+04+2.3038063656829322e+03j,-1.3893550841256539e+00-7.2504205468036488e+01j,-8.0893732013502003e+01+8.8185870971952710e+01j,6.6389674699355283e-01+3.7903575469986578e-01j,2.3083006221448838e-07,3.3466482367857606e-06,1.381824e-01,8.289453e+01,8.290625e+01,ok
