label,l,m,a,omega,N,quad_order,tail_epsrel,B_inc,B_ref,A_ref_1,A_hor_1,T0,R0,linear_balance,T1,R1,nonlinear_balance,wronskian_relative_error,rel_T1_to_reference,rel_R1_to_reference
kerr_a05_l2m2_sub,2,2,5.0000000000000000e-01,2.3999999999999999e-01,192,224,9.9999999999999994e-12,3.0785763731974060e+02-2.9725206149265347e+02j,3.5769467889380343e+02+2.3492565680368423e+02j,-1.1621043409606559e+07+1.7694057997307517e+07j,8.3059927227682838e+03+2.4733441374456230e+04j,-2.3731978656274602e-06,1.0000023731978616e+00,9.9999999999999589e-01,-2.1527017825845959e-07,1.6731412112737149e-07,-4.7956057131088094e-08,2.7672802450190644e-16,3.7573035605442881e-07,1.7938237399194126e-01
kerr_a05_l2m2_sub,2,2,5.0000000000000000e-01,2.3999999999999999e-01,224,224,9.9999999999999994e-12,3.0785779631092907e+02-2.9725189747659124e+02j,3.5769480040982160e+02+2.3492547260467262e+02j,-1.1620718323421732e+07+1.7693736808621999e+07j,8.3059926043277756e+03+2.4733441586471894e+04j,-2.3731978606366633e-06,1.0000023731980592e+00,1.0000000000001985e+00,-2.1527017428336377e-07,2.3233375548797347e-06,2.1080673805963709e-06,0.0000000000000000e+00,3.9419596218290902e-07,1.0395163395977539e+01
kerr_a05_l2m2_sub,2,2,5.0000000000000000e-01,2.3999999999999999e-01,256,224,9.9999999999999994e-12,3.0785790324482605e+02-2.9725179039385040e+02j,3.5769487881584206e+02+2.3492535786370274e+02j,-1.1621027869940802e+07+1.7694067193852920e+07j,8.3059953767588486e+03+2.4733441749853358e+04j,-2.3731978323892986e-06,1.0000023731976107e+00,9.9999999999977829e-01,-2.1527024101313962e-07,1.7364693476382453e-07,-4.1623306249315095e-08,1.3836401135389149e-16,8.4214564315101468e-08,1.4832212362406372e-01
kerr_a05_l2m2_sub,2,2,5.0000000000000000e-01,2.3999999999999999e-01,288,224,9.9999999999999994e-12,3.0785795578960341e+02-2.9725172753401154e+02j,3.5769493880419850e+02+2.3492525584675471e+02j,-1.1621018072566282e+07+1.7694065086245865e+07j,8.3059956210905857e+03+2.4733441075349394e+04j,-2.3731978974128526e-06,1.0000023731980925e+00,1.0000000000001952e+00,-2.1527025914203070e-07,2.0388804215829555e-07,-1.1382216983735150e-08,5.8702879230117571e-16,0.0000000000000000e+00,0.0000000000000000e+00
kerr_a05_l2m2_super,2,2,5.0000000000000000e-01,2.9999999999999999e-01,192,224,9.9999999999999994e-12,1.3577060081707850e+02-8.1002095717658463e+01j,1.1650631532781925e+02+1.0686849548928224e+02j,-7.6876555673221126e+05+8.3809271723493247e+05j,1.2394653018324143e+03+3.5967850398486271e+03j,1.5951892182903159e-05,9.9998404810777841e-01,9.9999999999996136e-01,1.5820620423223393e-06,-1.0711308312929965e-06,5.1093121102934279e-07,3.0884237380843756e-16,2.0088543698092555e-08,3.2295292899323991e-01
kerr_a05_l2m2_super,2,2,5.0000000000000000e-01,2.9999999999999999e-01,224,224,9.9999999999999994e-12,1.3577064330056950e+02-8.1002024048607325e+01j,1.1650637078242157e+02+1.0686843468419823e+02j,-7.6874385518107365e+05+8.3805546431400871e+05j,1.2394652179448126e+03+3.5967850236055251e+03j,1.5951892230552411e-05,9.9998404810754660e-01,9.9999999999977718e-01,1.5820619446990532e-06,-6.0215422552535021e-06,-4.4394803105544487e-06,7.4905278303020175e-17,4.1617815092931598e-08,2.8061340666867993e+00
kerr_a05_l2m2_super,2,2,5.0000000000000000e-01,2.9999999999999999e-01,256,224,9.9999999999999994e-12,1.3577067094627927e+02-8.1001977293250405e+01j,1.1650640668148205e+02+1.0686839523138181e+02j,-7.6876571341078868e+05+8.3809283801411360e+05j,1.2394653230829283e+03+3.5967850047977363e+03j,1.5951892273696586e-05,9.9998404810840058e-01,1.0000000000006743e+00,1.5820620874558954e-06,-1.5820603307801249e-06,1.7566757705257479e-12,1.4981055683030401e-16,4.8616854148856966e-08,1.4173640441301356e-06
kerr_a05_l2m2_super,2,2,5.0000000000000000e-01,2.9999999999999999e-01,288,224,9.9999999999999994e-12,1.3577068988298635e+02-8.1001948046550851e+01j,1.1650643369575185e+02+1.0686836767091360e+02j,-7.6876552651293564e+05+8.3809304472033668e+05j,1.2394653028934579e+03+3.5967850578326520e+03j,1.5951892015850216e-05,9.9998404810735431e-01,9.9999999999937017e-01,1.5820620105410174e-06,-1.5820625731387316e-06,-5.6259771422601326e-13,2.9962111126158987e-16,0.0000000000000000e+00,0.0000000000000000e+00
kerr_a09_l2m2_peak,2,2,9.0000000000000002e-01,5.7999999999999996e-01,192,224,9.9999999999999994e-12,4.8854654825411190e+00-2.1029429333740076e+01j,1.7472537787512952e+01+1.2690420120470943e+01j,-2.3880944829302612e+03+3.2886668604332749e+03j,3.6660152424253575e+01+9.4089861526959254e+01j,-4.9703103514328422e-04,1.0004970310332115e+00,9.9999999999806821e-01,-7.8185157276223482e-05,7.8185156975114491e-05,-3.0110899125641855e-13,2.2708708036444052e-16,2.2660495185759356e-08,2.2314763764289593e-08
kerr_a09_l2m2_peak,2,2,9.0000000000000002e-01,5.7999999999999996e-01,224,224,9.9999999999999994e-12,4.8855148329227909e+00-2.1029417937378170e+01j,1.7472567600863666e+01+1.2690379186119992e+01j,-2.3880867722628677e+03+3.2886724623927671e+03j,3.6660150665701124e+01+9.4089861288524048e+01j,-4.9703103206818154e-04,1.0004970310309367e+00,9.9999999999886846e-01,-7.8185152558302130e-05,7.8185152377209630e-05,-1.8109249993666920e-13,2.4825530492274673e-16,3.7682434646455842e-08,3.6493137142967080e-08
kerr_a09_l2m2_peak,2,2,9.0000000000000002e-01,5.7999999999999996e-01,256,224,9.9999999999999994e-12,4.8855471055107662e+00-2.1029410418270214e+01j,1.7472587067564799e+01+1.2690352347872555e+01j,-2.3880817246854954e+03+3.2886761310387010e+03j,3.6660151828945494e+01+9.4089861442319858e+01j,-4.9703103303580412e-04,1.0004970310317842e+00,9.9999999999874845e-01,-7.8185155343577436e-05,7.8185155147814732e-05,-1.9576270400729900e-13,2.9245224175872460e-16,2.0583409381325750e-09,1.0566774460314653e-09
kerr_a09_l2m2_peak,2,2,9.0000000000000002e-01,5.7999999999999996e-01,288,224,9.9999999999999994e-12,4.8855691122585876e+00-2.1029405262726442e+01j,1.7472600315320683e+01+1.2690334036660694e+01j,-2.3880782904635821e+03+3.2886786409431124e+03j,3.6660151620379793e+01+9.4089861926958633e+01j,-4.9703103496117978e-04,1.0004970310331969e+00,9.9999999999823574e-01,-7.8185155504509142e-05,7.8185155230431222e-05,-2.7407792019002591e-13,2.5574206715907691e-16,0.0000000000000000e+00,0.0000000000000000e+00
