label,l,m,a,omega,omega_h,m_omega_h,p_horizon,superradiant,N,r_match,quad_order,tail_epsrel,B_inc,B_ref,A_ref_1_unit_horizon,A_hor_1_unit_horizon,A_ref_1_fixed_incident,A_hor_1_fixed_incident,T0,R0,linear_balance,T1,R1,nonlinear_balance,abs_nonlinear_balance,wronskian_relative_error,elapsed_s,rss_mb_before,rss_mb_after,status
kerr_a0.5_l2m2,2,2,5.0000000000000000e-01,1.7999999999999999e-01,1.3397459621556135e-01,2.6794919243112270e-01,-8.7949192431122702e-02,true,320,4.0000000000000000e+01,320,9.9999999999999994e-12,6.2407057407140451e+02-1.0892602308396949e+03j,1.1135769168396512e+03+5.7956898268984082e+02j,-2.3361516078810054e+08+4.4886558671895123e+08j,6.6346064314313859e+04+2.0154220287886154e+05j,-2.5556350496349001e-01+1.0330104451258414e-02j,-7.1720697143840809e-05+7.9740189486342706e-05j,-1.1570814509397985e-06,1.0000011570806475e+00,9.9999999999919653e-01,-9.7424037886580202e-08,9.7423559086256370e-08,-4.7880032383171010e-13,4.7880032383171010e-13,2.8124914356174277e-16,4.974763e+00,7.715625e+01,8.663672e+01,ok
kerr_a0.5_l2m2,2,2,5.0000000000000000e-01,2.0000000000000001e-01,1.3397459621556135e-01,2.6794919243112270e-01,-6.7949192431122685e-02,true,320,4.0000000000000000e+01,320,9.9999999999999994e-12,4.9974149148357384e+02-7.0290561112339515e+02j,7.5511990279269207e+02+4.1666900150469775e+02j,-8.0660681334429920e+07+1.4617479705795306e+08j,3.2059080923601803e+04+9.6790499454832170e+04j,-2.5856790746471370e-01+2.9556840729155171e-02j,-9.4011607306882956e-05+1.2815691570572499e-04j,-1.7046501121488553e-06,1.0000017046506415e+00,1.0000000000005294e+00,-1.4694327493553739e-07,-7.1543045197997400e-06,-7.3012477947352771e-06,7.3012477947352771e-06,0.0000000000000000e+00,5.848471e+00,8.663672e+01,8.699609e+01,ok
kerr_a0.5_l2m2,2,2,5.0000000000000000e-01,2.2000000000000000e-01,1.3397459621556135e-01,2.6794919243112270e-01,-4.7949192431122695e-02,true,320,4.0000000000000000e+01,320,9.9999999999999994e-12,3.9470249614837462e+02-4.5677508139790109e+02j,5.1825867015188180e+02+3.0958407528133284e+02j,-2.9901369683537513e+07+5.0053643330001451e+07j,1.6101400647815057e+04+4.8291267651411166e+04j,-2.6101145981600754e-01+4.5915327641570462e-02j,-1.1823485922775116e-04+1.9889348781715644e-04j,-2.2319673102455495e-06,1.0000022319668724e+00,9.9999999999956224e-01,-1.9722553716432710e-07,-1.2547124859985488e-05,-1.2744350397149815e-05,1.2744350397149815e-05,0.0000000000000000e+00,5.021600e+00,8.700000e+01,8.700391e+01,ok
kerr_a0.5_l2m2,2,2,5.0000000000000000e-01,2.3999999999999999e-01,1.3397459621556135e-01,2.6794919243112270e-01,-2.7949192431122705e-02,true,320,4.0000000000000000e+01,320,9.9999999999999994e-12,3.0785801242606618e+02-2.9725167243795227e+02j,3.5769497581757292e+02+2.3492520399640694e+02j,-1.1621013981280984e+07+1.7694065405656107e+07j,8.3059978632014263e+03+2.4733441376339098e+04j,-2.6349481484629689e-01+5.9421136331560410e-02j,-1.4296981639357157e-04+3.0065056697261102e-04j,-2.3731978699768960e-06,1.0000023731975467e+00,9.9999999999967670e-01,-2.1527031227446090e-07,2.1527157363133964e-07,1.2613568787455380e-12,1.2613568787455380e-12,1.9567626298418198e-16,5.009778e+00,8.700391e+01,8.701172e+01,ok
kerr_a0.5_l2m2,2,2,5.0000000000000000e-01,2.5500000000000000e-01,1.3397459621556135e-01,2.6794919243112270e-01,-1.2949192431122691e-02,true,320,4.0000000000000000e+01,320,9.9999999999999994e-12,2.5345462509629544e+02-2.1513368867190280e+02j,2.7103196718214321e+02+1.9251912442005118e+02j,-5.8336048845027173e+06+8.2126590000789501e+06j,5.1174435679700036e+03+1.5150691120584173e+04j,-2.6568632847011558e-01+6.7664968001040743e-02j,-1.6065289379655395e-04+4.0449644001097298e-04j,-1.7147558575058575e-06,1.0000017147557017e+00,9.9999999999984412e-01,-1.5879528247575702e-07,8.3871160536651933e-08,-7.4924121939105090e-08,7.4924121939105090e-08,8.3815848304603643e-17,9.232494e+00,8.701172e+01,8.701953e+01,ok
kerr_a0.5_l2m2,2,2,5.0000000000000000e-01,2.6500000000000001e-01,1.3397459621556135e-01,2.6794919243112270e-01,-2.9491924311226825e-03,true,320,4.0000000000000000e+01,320,9.9999999999999994e-12,2.2178600755461980e+02-1.7326982857141056e+02j,2.2512620277197254e+02+1.6890737402423875e+02j,-3.7060057383492258e+06+4.9395508670821954e+06j,3.7206740361257998e+03+1.0970588731272945e+04j,-2.6740409511759744e-01+7.2258735200972285e-02j,-1.7143773296496648e-04+4.9052912447454901e-04j,-5.2434451542435558e-07,1.0000005243446344e+00,1.0000000000001190e+00,-4.9258399251369681e-08,2.4118399313709929e-06,2.3625815321196230e-06,2.3625815321196230e-06,9.5268713926179452e-17,8.274668e+00,8.702344e+01,8.699219e+01,ok
kerr_a0.5_l2m2,2,2,5.0000000000000000e-01,2.8000000000000003e-01,1.3397459621556135e-01,2.6794919243112270e-01,1.2050807568877331e-02,false,320,4.0000000000000000e+01,320,9.9999999999999994e-12,1.8051495054011684e+02-1.2509976557150799e+02j,1.7010917383761802e+02+1.3891834676737568e+02j,-1.8859055177227440e+06+2.3093315200782507e+06j,2.3170715520254184e+03+6.7877763254777174e+03j,-2.7048535722342520e-01+7.7768783264909311e-02j,-1.8519283695672911e-04+6.5121322441268926e-04j,3.3299521602468521e-06,9.9999667004756676e-01,9.9999999999972700e-01,3.1991879963072276e-07,-1.1283481343877609e-06,-8.0842933475703809e-07,8.0842933475703809e-07,2.5836479606949856e-16,8.683070e+00,8.699219e+01,8.699609e+01,ok
kerr_a0.5_l2m2,2,2,5.0000000000000000e-01,2.9999999999999999e-01,1.3397459621556135e-01,2.6794919243112270e-01,3.2050807568877293e-02,false,320,4.0000000000000000e+01,320,9.9999999999999994e-12,1.3577070338024103e+02-8.1001924395902847e+01j,1.1650645064307319e+02+1.0686834841656152e+02j,-7.6876538324015564e+05+8.3809316144086956e+05j,1.2394652670664789e+03+3.5967850381872177e+03j,-2.7573113845939179e-01+8.2460245596654450e-02j,-1.9698035453380555e-04+9.4235660288953353e-04j,1.5951892122068476e-05,9.9998404810786701e-01,9.9999999999998912e-01,1.5820619858800477e-06,-1.5820610618978566e-06,9.2398219109595639e-13,9.2398219109595639e-13,2.2471583421331250e-16,7.907774e+00,8.700000e+01,8.700391e+01,ok
kerr_a0.5_l2m2,2,2,5.0000000000000000e-01,3.4999999999999998e-01,1.3397459621556135e-01,2.6794919243112270e-01,8.2050807568877282e-02,false,320,4.0000000000000000e+01,320,9.9999999999999994e-12,6.3609117822098341e+01-2.8371109432384621e+01j,4.3876799195488452e+01+5.4083188746044407e+01j,-8.0384130289377354e+04+6.5210054334030319e+04j,2.6364664135221290e+02+7.4315670120904747e+02j,-2.9589799831931279e-01+7.9352394287596259e-02j,-1.8331388460168053e-04+2.3266244100648890e-03j,1.8035472822936277e-04,9.9981964527217759e-01,1.0000000000004070e+00,1.9604011135356452e-05,-1.9604009537251089e-05,1.5981053625075715e-12,1.5981053625075715e-12,3.2588153294800984e-16,6.463266e+00,8.700391e+01,8.694922e+01,ok
kerr_a0.5_l2m2,2,2,5.0000000000000000e-01,4.5000000000000001e-01,1.3397459621556135e-01,2.6794919243112270e-01,1.8205080756887732e-01,false,320,4.0000000000000000e+01,320,9.9999999999999994e-12,1.1876326881407453e+01-6.3964247586486556e+00j,5.5797239763669211e+00+1.2219584348482190e+01j,-8.0979029932001038e+02+3.6815063027277949e+02j,1.3086697152397603e+01+3.3169902360167654e+01j,-3.6158867781889698e-01-2.4388002891636472e-02j,-1.7138925295347724e-03+1.4426017378364599e-02j,8.2975217230616283e-03,9.9170247827895341e-01,1.0000000000020151e+00,1.1935186247206081e-03,-1.1935186205909182e-03,4.1296898626447254e-12,4.1296898626447254e-12,1.6358861922787679e-16,3.089871e+00,8.695703e+01,8.696094e+01,ok
