l,threshold,points,omega_peak,gamma,peak_rms_over_peak,peak_r2
0,1.500000000000e-01,10,1.299158296188e-01,7.792526325618e-02,1.359287250686e-02,9.973969678215e-01
0,2.000000000000e-01,10,1.299158296188e-01,7.792526325618e-02,1.359287250686e-02,9.973969678215e-01
0,2.500000000000e-01,9,1.299866166746e-01,8.322547175823e-02,1.420811421779e-02,9.955538096719e-01
0,3.000000000000e-01,9,1.299866166746e-01,8.322547175823e-02,1.420811421779e-02,9.955538096719e-01
1,1.500000000000e-01,7,3.100053942681e-01,5.974601853828e-02,1.233958943744e-02,9.978638261567e-01
1,2.000000000000e-01,7,3.100053942681e-01,5.974601853828e-02,1.233958943744e-02,9.978638261567e-01
1,2.500000000000e-01,7,3.100053942681e-01,5.974601853828e-02,1.233958943744e-02,9.978638261567e-01
1,3.000000000000e-01,6,3.096886951870e-01,6.852856537641e-02,7.724894466395e-03,9.989298404564e-01
2,1.500000000000e-01,6,5.022131322106e-01,6.156467969303e-02,5.215477171137e-03,9.996681612731e-01
2,2.000000000000e-01,5,5.022009276637e-01,6.111934262724e-02,5.709673110523e-03,9.991034352724e-01
2,2.500000000000e-01,5,5.022009276637e-01,6.111934262724e-02,5.709673110523e-03,9.991034352724e-01
2,3.000000000000e-01,5,5.022009276637e-01,6.111934262724e-02,5.709673110523e-03,9.991034352724e-01
