l,window,omega_min,omega_max,points,pi_Tfit,tail_rms_log,abs_Tfit_over_TH_minus_1
0,base,1.800000000000e-01,6.000000000000e-01,5,1.122600551442e-01,4.505283934972e-02,3.245279496954e-02
0,start_plus,2.200000000000e-01,6.000000000000e-01,4,1.120138920559e-01,4.831515600198e-02,3.457442592484e-02
0,end_minus,1.800000000000e-01,5.200000000000e-01,4,1.111779215295e-01,3.681955456868e-02,4.177949049807e-02
0,both,2.600000000000e-01,6.000000000000e-01,3,1.131195346168e-01,3.212355527655e-02,2.504511143950e-02
1,base,3.800000000000e-01,8.500000000000e-01,5,1.042534376419e-01,4.870701012042e-02,1.014602471402e-01
1,start_plus,4.200000000000e-01,8.500000000000e-01,4,1.047534209639e-01,4.083314977946e-02,9.715098980801e-02
1,end_minus,3.800000000000e-01,7.700000000000e-01,4,1.033738027788e-01,3.721578395272e-02,1.090416459926e-01
1,both,4.600000000000e-01,8.500000000000e-01,3,1.057200522519e-01,3.534161268696e-03,8.881978598175e-02
2,base,6.200000000000e-01,1.000000000000e+00,4,1.002717413157e-01,3.820647316629e-02,1.357777000114e-01
2,start_plus,6.600000000000e-01,1.000000000000e+00,3,1.011558379456e-01,6.891276622146e-03,1.281578460735e-01
2,end_minus,6.200000000000e-01,9.200000000000e-01,3,9.935036745993e-02,2.887120299368e-02,1.437188389836e-01
2,both,7.000000000000e-01,1.000000000000e+00,3,1.011558379456e-01,6.891276622146e-03,1.281578460735e-01
