label,l,m,a,omega,N,B_inc,B_ref,abs_B_inc,abs_B_ref,T,R,flux_balance_error,r_match,mapping,cond_outer_down,cond_outer_up,cond_inner
baseline,0,0,5.000000000000000e-01,1.000000000000000e-01,64,7.413381593523922e-01+3.348898087412114e+00j,-1.476327549101170e+00-2.419319256826383e+00j,3.429970942498567e+00,2.834192777262342e+00,3.172244592871397e-01,6.827754421018006e-01,9.861105965125461e-08,3.000000000000000e+01,linear,7.739472331212080e+07,7.739472331212080e+07,7.707842369942829e+05
baseline,0,0,5.000000000000000e-01,1.000000000000000e-01,96,7.413375124201135e-01+3.348897199982494e+00j,-1.476326663363910e+00-2.419318610443463e+00j,3.429969936219825e+00,2.834191764118530e+00,3.172246454207108e-01,6.827753545788089e-01,4.802824804528427e-13,3.000000000000000e+01,linear,4.783153723903955e+08,4.783153723903955e+08,3.019870373537785e+06
baseline,0,0,5.000000000000000e-01,1.000000000000000e-01,128,7.413375124047811e-01+3.348897199968499e+00j,-1.476326663349425e+00-2.419318610434309e+00j,3.429969936202847e+00,2.834191764103170e+00,3.172246454238513e-01,6.827753545781681e-01,2.019273637188235e-12,3.000000000000000e+01,linear,1.742908239956657e+09,1.742908239956657e+09,8.570583600472160e+06
baseline,0,0,5.000000000000000e-01,1.000000000000000e-01,160,7.413375124255023e-01+3.348897200005297e+00j,-1.476326663380565e+00-2.419318610458014e+00j,3.429969936243253e+00,2.834191764139627e+00,3.172246454163772e-01,6.827753545796463e-01,3.976374784997461e-12,3.000000000000000e+01,linear,4.753173366036219e+09,4.753173366036219e+09,2.044200376226953e+07
baseline,0,0,5.000000000000000e-01,1.000000000000000e-01,192,7.413375124018522e-01+3.348897199939747e+00j,-1.476326663339868e+00-2.419318610408406e+00j,3.429969936174141e+00,2.834191764076081e+00,3.172246454291611e-01,6.827753545765443e-01,5.705214078943754e-12,3.000000000000000e+01,linear,1.079064140585799e+10,1.079064140585799e+10,4.316630911897553e+07
superradiant_low,2,2,5.000000000000000e-01,1.000000000000000e-02,64,-3.922651680029690e+06-7.609712822333560e+06j,5.442488184181235e+06+6.608649469170798e+06j,8.561245554312034e+06,8.561245554317655e+06,-1.313432664170247e-12,1.000000000001313e+00,2.220446049250313e-16,3.000000000000000e+01,sinh,7.142925537650405e+07,7.142925537650405e+07,3.708211971528842e+08
superradiant_low,2,2,5.000000000000000e-01,1.000000000000000e-02,96,-3.922618680929453e+06-7.609652303273793e+06j,5.442470393378745e+06+6.608574847120136e+06j,8.561176641834747e+06,8.561176641840369e+06,-1.313453808988700e-12,1.000000000001313e+00,7.771561172376096e-16,3.000000000000000e+01,sinh,4.380477152509627e+08,4.380477152509627e+08,2.159103087037488e+09
superradiant_low,2,2,5.000000000000000e-01,1.000000000000000e-02,128,-3.922613105223024e+06-7.609654811726288e+06j,5.442474944162374e+06+6.608570678229711e+06j,8.561176316774258e+06,8.561176316779882e+06,-1.313453908730121e-12,1.000000000001314e+00,2.220446049250313e-16,3.000000000000000e+01,sinh,1.589965380168362e+09,1.589965380168362e+09,7.793529442953711e+09
superradiant_low,2,2,5.000000000000000e-01,1.000000000000000e-02,160,-3.922610722980354e+06-7.609656386100562e+06j,5.442477363504827e+06+6.608569084635139e+06j,8.561176624656305e+06,8.561176624661926e+06,-1.313453814259726e-12,1.000000000001313e+00,3.330669073875470e-16,3.000000000000000e+01,sinh,4.325902318762730e+09,4.325902318762730e+09,2.119165577283303e+10
superradiant_low,2,2,5.000000000000000e-01,1.000000000000000e-02,192,-3.922609488415503e+06-7.609656361834548e+06j,5.442478551000294e+06+6.608567345939235e+06j,8.561176037427122e+06,8.561176037432743e+06,-1.313453994444886e-12,1.000000000001313e+00,3.330669073875470e-16,3.000000000000000e+01,sinh,9.805265792779657e+09,9.805265792779657e+09,4.802620782356928e+10
