s,l,m,a,omega,N,r_match,mapping,kappa_outer,kappa_inner,lambda_gsn,lambda_local,lambda_abs_error,B_inc_spectral,B_ref_spectral,B_inc_gsn,B_ref_gsn,rel_abs_B_inc,rel_abs_B_ref,rel_complex_B_inc,rel_complex_B_ref,phase_factor_B_inc,phase_factor_B_ref,T_spectral,R_spectral,flux_balance_error,cond_outer_down,cond_outer_up,cond_inner,status
0,0,0,0.0000000000000000e+00,1.0000000000000000e-02,224,3.0000000000000000e+01,sinh,3.9120230054281460e+00,1.9560115027140730e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-2.0041376781943439e+00+4.8262801576282897e+01j,-3.9418282997444236e+00-4.8101731501901014e+01j,-2.0041376605200187e+00+4.8262801549999431e+01j,-3.9418283071330564e+00-4.8101731474175779e+01j,5.5883396687520760e-10,5.6003895651926460e-10,6.5570368504070845e-10,5.9451095486468645e-10,1.0000000005588339e+00+3.4300422471078189e-10j,1.0000000005600391e+00+1.9949823360862480e-10j,1.7142994895455229e-03,9.9828570051080978e-01,3.5527136788005009e-13,1.4140411302676260e+09,1.4140411302676260e+09,3.5856671222933328e+08,ok
0,0,0,0.0000000000000000e+00,1.0000000000000001e-01,224,3.0000000000000000e+01,linear,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.5621992639212563e-01+3.4049762473958167e+00j,-8.7426391533945769e-01-2.7500251660809085e+00j,8.5621992641614053e-01+3.4049762474326175e+00j,-8.7426391537697690e-01-2.7500251661213468e+00j,1.1833257366035495e-11,1.7294032644261663e-11,1.2515965365404169e-11,1.9116292640657058e-11,9.9999999998816691e-01+4.0772672678276984e-12j,9.9999999998270572e-01+8.1452046908469718e-12j,3.2449159164469993e-01,6.7550840836035986e-01,5.0597304124266884e-12,2.1578299813201569e+10,2.1578299813201569e+10,9.5764303781172499e+07,ok
0,0,0,0.0000000000000000e+00,5.0000000000000000e-01,224,2.0000000000000000e+01,linear,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.9355637663827974e+00+5.0371389244076237e-01j,-3.3693580383256268e-03-1.1109751443447924e-02j,1.9355637663760132e+00+5.0371389244594111e-01j,-3.3693580476719105e-03-1.1109751435428802e-02j,2.6305181175454198e-12,4.2736211147613994e-10,4.2673575795868780e-12,1.0607748519786025e-09,1.0000000000026303e+00-3.3601870956291393e-12j,1.0000000004273619e+00+9.7087849889135774e-10j,9.9996630634235462e-01,3.3693652380765116e-05,5.2645665604700298e-12,2.0798970096045193e+10,2.0798970096045193e+10,1.6573755633547753e+08,ok
0,1,0,0.0000000000000000e+00,1.0000000000000001e-01,224,3.0000000000000000e+01,linear,0.0000000000000000e+00,0.0000000000000000e+00,2.0000000000000000e+00,2.0000000000000000e+00,0.0000000000000000e+00,-8.0212366157557994e+01-4.2466346333391833e+01j,-8.9635531988637965e+01+1.4102682745675430e+01j,-8.0212366084968295e+01-4.2466346365062464e+01j,-8.9635531949928932e+01+1.4102682673814115e+01j,5.4357557036281591e-10,5.4450585656649744e-10,8.7260505953949704e-10,8.9955267746515382e-10,1.0000000005435754e+00-6.8261660652017716e-10j,1.0000000005445058e+00-7.1603660612327903e-10j,4.8558927303290784e-04,9.9951441072812919e-01,1.1621814621776139e-12,2.2005943314845932e+10,2.2005943314845932e+10,5.3416719286961210e+08,ok
0,1,0,0.0000000000000000e+00,5.0000000000000000e-01,224,2.0000000000000000e+01,linear,0.0000000000000000e+00,0.0000000000000000e+00,2.0000000000000000e+00,2.0000000000000000e+00,0.0000000000000000e+00,4.5771280562602645e-01+1.9491067392890209e+00j,-9.1400779797829818e-02-1.2805895803456977e-02j,4.5771280561289301e-01+1.9491067392766506e+00j,-9.1400779797092491e-02-1.2805895803051026e-02j,7.5146521117934247e-12,8.5219811612189520e-12,9.0113885042569654e-12,9.1197429323059929e-12,1.0000000000075144e+00-4.9735109201663273e-12j,1.0000000000085221e+00+3.2474582670625584e-12j,9.9787500183931332e-01,2.1249981454821210e-03,1.5204504322241519e-11,2.0834722350473335e+10,2.0834722350473335e+10,1.7427916727961883e+08,ok
0,0,0,5.0000000000000000e-01,1.0000000000000001e-01,224,3.0000000000000000e+01,linear,0.0000000000000000e+00,0.0000000000000000e+00,1.6665740667264860e-03,1.6665740667259868e-03,4.9916668021232624e-16,7.4133751240385970e-01+3.3488971999530031e+00j,-1.4763266633508962e+00-2.4193186104095514e+00j,7.4133751242167556e-01+3.3488971999895742e+00j,-7.5772832728210648e-01-2.7310237527242172e+00j,1.1532955446285091e-11,1.9595794954948491e-11,1.1860142338862381e-11,2.7637165943916692e-01,9.9999999998846723e-01+2.7669256578361321e-12j,9.6180935290982472e-01-2.7372023786339322e-01j,3.1722464542668677e-01,6.8277535457445782e-01,1.1446399383885364e-12,2.1583917576812649e+10,2.1583917576812649e+10,8.2909767900650516e+07,ok
0,1,0,5.0000000000000000e-01,1.0000000000000001e-01,224,3.0000000000000000e+01,linear,0.0000000000000000e+00,0.0000000000000000e+00,2.0009999571438124e+00,2.0009999571438177e+00,5.3290705182007514e-15,-8.7436824165542063e+01-5.4192489248070125e+01j,-9.6048364300507330e+01+3.6783199636294484e+01j,-8.7436824135073934e+01-5.4192489251373566e+01j,-1.0244852124931778e+02+9.0880442949663447e+00j,2.3483345435023633e-10,2.3667702141581688e-10,2.9791968972723167e-10,2.7637165967250382e-01,1.0000000002348337e+00-1.8332843164509374e-10j,9.6180935310161009e-01-2.7372023812574908e-01j,3.5267835041775421e-04,9.9964732165297665e-01,3.3943958754889536e-12,2.2011508987305515e+10,2.2011508987305515e+10,5.1442950928001291e+08,ok
0,2,0,5.0000000000000000e-01,1.0000000000000001e-01,224,3.0000000000000000e+01,linear,0.0000000000000000e+00,0.0000000000000000e+00,6.0011905396359824e+00,6.0011905396359859e+00,3.5527136788005009e-15,7.0913779330513689e+03-5.6505299631665721e+03j,2.3638297180203044e+03+8.7537669140975268e+03j,7.0913778845547686e+03-5.6505296162256000e+03j,-1.2252986852694107e+02+9.0664826666498975e+03j,2.8027445739976423e-08,2.8028567181847214e-08,3.8634838139344566e-08,2.7637168969709403e-01,1.0000000280274453e+00-2.6591596870543258e-08j,9.6180937259555410e-01-2.7372027116105524e-01j,4.5393170588250442e-08,9.9999995460906932e-01,2.2399859744837158e-12,2.3131310783981785e+10,2.3131310783981785e+10,2.1401063266359421e+10,ok
0,2,0,5.0000000000000000e-01,5.0000000000000000e-01,224,2.0000000000000000e+01,linear,0.0000000000000000e+00,0.0000000000000000e+00,6.0298016695710706e+00,6.0298016695710732e+00,2.6645352591003757e-15,-7.5716040882167834e-01-2.5006840559446326e+00j,1.1525639678234723e+00+1.3290064427318289e+00j,-7.5716040883977742e-01-2.5006840559242924e+00j,-1.0950043016908320e+00+1.3768178543281517e+00j,5.4433606511948542e-12,4.7652434684502668e-12,1.0420558178147717e-11,1.2779225526529006e+00,1.0000000000054434e+00+8.8858084822603072e-12j,1.8345697471531264e-01-9.8302774042131458e-01j,5.4668344905682031e-01,4.5331655093935108e-01,3.8286041004198523e-12,2.0921082546785812e+10,2.0921082546785812e+10,2.0285145849439979e+08,ok
0,1,1,5.0000000000000000e-01,5.0000000000000003e-02,224,3.0000000000000000e+01,sinh,2.3025850929940455e+00,1.1512925464970227e+00,1.9504999982142650e+00,1.9504999982142561e+00,8.8817841970012523e-15,-5.4542744101137930e+02-1.1861384359855161e+02j,-5.1135477665785544e+02+2.2379208574006833e+02j,-5.5795069631398690e+02-1.5854295859477853e+01j,-5.0025116100331491e+02+2.4761942992926151e+02j,1.4652366930913327e-09,1.4651146185628897e-09,1.8546095621079547e-01,4.7094893582162276e-02,9.8280211539545193e-01+1.8466185053700521e-01j,9.9889103403412771e-01+4.7081835095944650e-02j,-2.0117930435948605e-05,1.0000201179306272e+00,1.9118040484045196e-13,4.1404894022580800e+09,4.1404894022580800e+09,1.5091710804442360e+09,ok
0,1,1,5.0000000000000000e-01,1.0000000000000001e-01,224,3.0000000000000000e+01,linear,0.0000000000000000e+00,0.0000000000000000e+00,1.9019999714266671e+00,1.9019999714266667e+00,4.4408920985006262e-16,-1.0900564877732032e+02-4.9253570945455216e+01j,-1.0439944717282084e+02+5.8396653118387903e+01j,-1.1622622311662644e+02-2.8277390059104157e+01j,-1.0930000657981573e+02+4.8609898573806348e+01j,4.2867368808874721e-10,4.2921292739506648e-10,1.8546043277218838e-01,9.1497730975354297e-02,9.8280221350930275e-01+1.8466133397077961e-01j,9.9581408218396816e-01-9.1401930317011021e-02j,-8.8617296578945710e-05,1.0000886172954608e+00,1.1181056080999952e-12,2.2012912386517738e+10,2.2012912386517738e+10,6.7125602844084692e+08,ok
0,1,1,5.0000000000000000e-01,2.0000000000000001e-01,224,3.0000000000000000e+01,linear,0.0000000000000000e+00,0.0000000000000000e+00,1.8079995427352060e+00,1.8079995427352171e+00,1.1102230246251565e-14,-1.4087195706191563e+01-9.6399304875175442e+00j,-1.4952296992628687e+01+8.1592957114010698e+00j,-1.5625049566734416e+01-6.8727846575933489e+00j,-1.6888284846630459e+01+2.2206141140418718e+00j,4.1843621766646426e-10,4.1797882311773415e-10,1.8546043394718531e-01,3.6670222148849418e-01,9.8280221330162476e-01+1.8466133513151978e-01j,9.3276473995972309e-01-3.6048569881746073e-01j,4.2283686036964259e-03,9.9577163139876568e-01,2.4620305794087471e-12,2.1683545691569054e+10,2.1683545691569054e+10,2.3502168302653223e+08,ok
